n,B,G,instance,opt,greedy,u_pi,u_pen,true_ratio,cert_pi,cert_pen
4,2,2,0,10.101700851185957,10.101700851185958,11.141388237116121,10.736561869126307,1.0000000000000002,0.9066824201972806,0.9408692442069436
4,2,2,1,6.1390848501682,5.872140185702412,7.272702741277692,6.798512325171749,0.956517189291092,0.8074219990284898,0.8637389924205315
4,2,2,2,4.952078948780224,4.952078948780225,6.384712138287706,5.896338997351749,1.0000000000000002,0.7756150694850756,0.8398565535333664
4,2,2,3,4.470313507943812,4.293280060171184,6.688880862344414,6.159853912193581,0.9603979793681052,0.6418532709022439,0.6969775779377707
4,2,2,4,5.333932268667488,5.14046500613332,7.263403421267671,6.935353181864247,0.9637289615260713,0.7077212579273426,0.7411972932503987
4,2,2,5,6.464174344081952,6.461562249804806,8.28281662061074,7.9393110043136685,0.999595912155504,0.7801165407581313,0.8138693957566397
4,2,2,6,5.999065594713659,5.9990655947136595,7.164538344841898,6.829242370808562,1.0000000000000002,0.8373275856681932,0.8784379392297638
4,2,2,7,6.011934549704687,6.011934549704689,7.669285563165896,7.204743448908063,1.0000000000000002,0.7838976003943385,0.8344411695347522
4,2,2,8,3.7139285573560077,3.5310835880570486,5.390622039094742,5.024099383643654,0.9507677742112711,0.655041952941303,0.7028291676619227
4,2,2,9,8.713248073923411,8.698021836831865,9.822464953332018,9.242378165870868,0.9982525188124605,0.8855233261872097,0.9411021363474246
4,2,2,10,9.021668510298216,8.99080358898735,10.521803195035051,10.047987442151895,0.996578801218906,0.8544926589417545,0.8947865073228897
4,2,2,11,8.286098922362536,8.286098922362537,9.515699738258187,9.045420905624246,1.0000000000000002,0.8707818815518108,0.9160545439306668
4,2,2,12,7.0270455094960536,6.911462018955505,8.454595657243535,7.8490530458164764,0.9835516234547856,0.8174799007725533,0.8805472429109515
4,2,2,13,7.4713070543753375,7.312273354099858,8.848892925439202,8.45743678740133,0.9787140725018996,0.8263489473443848,0.8645968675748933
4,2,2,14,4.3287633509915135,4.328763350991515,5.913837199210601,5.3870266574935055,1.0000000000000004,0.7319720183655603,0.8035533562786595
4,2,2,15,8.043688763135112,7.8134985704897115,9.88224447358861,9.323554052922745,0.971382508768815,0.7906603192596732,0.8380386412883334
4,2,2,16,9.60359655333184,9.588600546929671,10.51659712397567,10.07976541878851,0.9984385010012767,0.9117588544938783,0.951272192213589
4,2,2,17,6.757316870171657,6.511366243365644,8.832339324072743,8.052966825824452,0.9636023244830066,0.7372187598837792,0.8085673745090858
4,2,2,18,6.671622347627365,6.480565444682085,8.470411833089697,8.123433968248424,0.9713627521178225,0.7650826869321431,0.7977618172329929
4,2,2,19,7.812479566504271,7.645992180664182,9.67255127079732,8.907165002936209,0.9786895588752772,0.790483499813376,0.8584091771224305
4,2,3,0,9.049067359443224,8.99080358898735,10.521803195035051,10.521803195035053,0.9935613507843907,0.8544926589417545,0.8544926589417544
4,2,3,1,8.295390657350445,7.793978943420726,9.515699738258187,9.515699738258185,0.9395553826647784,0.8190652456261072,0.8190652456261074
4,2,3,2,7.0270455094960536,6.911462018955505,8.454595657243535,8.454595657243535,0.9835516234547856,0.8174799007725533,0.8174799007725533
4,2,3,3,7.4713070543753375,6.9297996741673815,8.848892925439202,8.848892925439198,0.9275217339794863,0.7831261755066871,0.7831261755066873
4,2,3,4,4.3287633509915135,3.976549874133281,5.913837199210601,5.913837199210601,0.9186341575411932,0.6724144984349729,0.6724144984349729
4,2,3,5,8.099128526961314,8.041795464880769,9.88224447358861,9.88224447358861,0.9929210825720708,0.8137620442778314,0.8137620442778314
4,2,3,6,9.831458193973283,9.83145819397328,10.51659712397567,10.516597123975666,0.9999999999999997,0.934851651924517,0.9348516519245174
4,2,3,7,6.757316870171657,6.618578113973536,8.832339324072743,8.83233932407274,0.9794683660891285,0.7493573187269255,0.7493573187269258
4,2,3,8,6.671622347627365,6.480565444682085,8.470411833089697,8.470411833089694,0.9713627521178225,0.7650826869321431,0.7650826869321434
4,2,3,9,8.19903263905511,8.19903263905511,9.67255127079732,9.672551270797314,1.0,0.8476597755350285,0.8476597755350289
4,2,3,10,6.839878950669997,6.812248954505124,8.8767886976643,8.8767886976643,0.9959604553875671,0.7674226780116546,0.7674226780116546
4,2,3,11,4.005528385232482,3.8648697477721705,5.3769663036862045,5.3769663036862045,0.9648838745023279,0.7187825865902472,0.7187825865902472
4,2,3,12,7.8368265672668915,7.8368265672668915,9.98490323934774,9.984903239347739,1.0,0.7848675524850482,0.7848675524850485
4,2,3,13,10.094850791508051,9.898058034181181,12.537356156213342,12.537356156213338,0.980505629910606,0.789485271922808,0.7894852719228083
4,2,3,14,4.971625385026202,4.941075813127689,6.259046444792748,6.259046444792748,0.9938552144353989,0.7894294852594436,0.7894294852594436
