region,iteration,candidate_ratio,incumbent_ratio,accepted,coordinate,p,u,n,B,G,seed_instance
low,0,0.9466611000686252,0.9466611000686252,1,seed,"[0.2, 0.2, 0.2, 0.2, 0.2, 0.2]","[0.3045895320760726, 0.634761975338223, 0.5411021075115671, 1.6674962821601178, 1.4150427752476245, 1.437007327666395]",6,3,2,555
low,1,0.9486597287913154,0.9466611000686252,0,p[2],"[0.2, 0.2, 0.2, 0.2, 0.2, 0.2]","[0.3045895320760726, 0.634761975338223, 0.5411021075115671, 1.6674962821601178, 1.4150427752476245, 1.437007327666395]",6,3,2,555
low,2,0.9602671646891258,0.9466611000686252,0,log_u[5],"[0.2, 0.2, 0.2, 0.2, 0.2, 0.2]","[0.3045895320760726, 0.634761975338223, 0.5411021075115671, 1.6674962821601178, 1.4150427752476245, 1.437007327666395]",6,3,2,555
low,3,0.9615394582075398,0.9466611000686252,0,p[5],"[0.2, 0.2, 0.2, 0.2, 0.2, 0.2]","[0.3045895320760726, 0.634761975338223, 0.5411021075115671, 1.6674962821601178, 1.4150427752476245, 1.437007327666395]",6,3,2,555
low,4,0.9497724287336691,0.9466611000686252,0,log_u[1],"[0.2, 0.2, 0.2, 0.2, 0.2, 0.2]","[0.3045895320760726, 0.634761975338223, 0.5411021075115671, 1.6674962821601178, 1.4150427752476245, 1.437007327666395]",6,3,2,555
low,5,0.948518389277913,0.9466611000686252,0,p[5],"[0.2, 0.2, 0.2, 0.2, 0.2, 0.2]","[0.3045895320760726, 0.634761975338223, 0.5411021075115671, 1.6674962821601178, 1.4150427752476245, 1.437007327666395]",6,3,2,555
low,6,0.9471038087545299,0.9466611000686252,0,log_u[0],"[0.2, 0.2, 0.2, 0.2, 0.2, 0.2]","[0.3045895320760726, 0.634761975338223, 0.5411021075115671, 1.6674962821601178, 1.4150427752476245, 1.437007327666395]",6,3,2,555
low,7,0.9596121427663297,0.9466611000686252,0,p[3],"[0.2, 0.2, 0.2, 0.2, 0.2, 0.2]","[0.3045895320760726, 0.634761975338223, 0.5411021075115671, 1.6674962821601178, 1.4150427752476245, 1.437007327666395]",6,3,2,555
low,8,0.9525512157514892,0.9466611000686252,0,log_u[5],"[0.2, 0.2, 0.2, 0.2, 0.2, 0.2]","[0.3045895320760726, 0.634761975338223, 0.5411021075115671, 1.6674962821601178, 1.4150427752476245, 1.437007327666395]",6,3,2,555
low,9,0.9571054499814883,0.9466611000686252,0,p[5],"[0.2, 0.2, 0.2, 0.2, 0.2, 0.2]","[0.3045895320760726, 0.634761975338223, 0.5411021075115671, 1.6674962821601178, 1.4150427752476245, 1.437007327666395]",6,3,2,555
low,10,0.9478844160538751,0.9466611000686252,0,log_u[1],"[0.2, 0.2, 0.2, 0.2, 0.2, 0.2]","[0.3045895320760726, 0.634761975338223, 0.5411021075115671, 1.6674962821601178, 1.4150427752476245, 1.437007327666395]",6,3,2,555
low,11,0.9464039686735847,0.9464039686735847,1,p[0],"[0.26463381369138794, 0.2, 0.2, 0.2, 0.2, 0.2]","[0.3045895320760726, 0.634761975338223, 0.5411021075115671, 1.6674962821601178, 1.4150427752476245, 1.437007327666395]",6,3,2,555
low,12,0.9471159104487574,0.9464039686735847,0,log_u[1],"[0.26463381369138794, 0.2, 0.2, 0.2, 0.2, 0.2]","[0.3045895320760726, 0.634761975338223, 0.5411021075115671, 1.6674962821601178, 1.4150427752476245, 1.437007327666395]",6,3,2,555
low,13,0.9557532043664114,0.9464039686735847,0,p[3],"[0.26463381369138794, 0.2, 0.2, 0.2, 0.2, 0.2]","[0.3045895320760726, 0.634761975338223, 0.5411021075115671, 1.6674962821601178, 1.4150427752476245, 1.437007327666395]",6,3,2,555
low,14,0.9498583651708804,0.9464039686735847,0,log_u[2],"[0.26463381369138794, 0.2, 0.2, 0.2, 0.2, 0.2]","[0.3045895320760726, 0.634761975338223, 0.5411021075115671, 1.6674962821601178, 1.4150427752476245, 1.437007327666395]",6,3,2,555
