base_p,n,B,G,rate_mode,utility_mode,instances,ratio_laminar_opt_min,ratio_laminar_opt_max,ratio_laminar_opt_mean,ratio_laminar_opt_median,ratio_laminar_opt_worst_instance,ratio_laminar_opt_best_instance,ratio_greedy_laminar_min,ratio_greedy_laminar_max,ratio_greedy_laminar_mean,ratio_greedy_laminar_median,ratio_greedy_laminar_worst_instance,ratio_greedy_laminar_best_instance,ratio_static_opt_min,ratio_static_opt_max,ratio_static_opt_mean,ratio_static_opt_median,ratio_static_opt_worst_instance,ratio_static_opt_best_instance,ratio_greedy_static_min,ratio_greedy_static_max,ratio_greedy_static_mean,ratio_greedy_static_median,ratio_greedy_static_worst_instance,ratio_greedy_static_best_instance
0.05,4,2,2,beta_bimodal,flat,3,0.999938195188607,1.0,0.9999793983962023,1.0,6,7,0.9999999999999999,1.0,1.0,1.0,8,6,0.9999381951886072,0.9999999999999999,0.9999793983962023,0.9999999999999998,6,8,0.9999999999999999,1.0000000000000002,1.0,1.0,6,7
0.05,4,2,2,beta_bimodal,log_uniform,3,0.995818199953273,0.999849356298004,0.998461184893111,0.9997159984280558,9,11,0.9731115769454061,1.0,0.9910371923151353,1.0,11,9,0.9958181999532733,0.9998493562980038,0.9982951128166825,0.9992177821987708,9,11,0.9731115769454062,1.000498606247968,0.9912033943977914,0.9999999999999998,11,10
0.05,4,2,2,homogeneous,flat,3,1.0,1.0,1.0,1.0,0,0,1.0,1.0,1.0,1.0,0,0,1.0,1.0,1.0,1.0,0,0,1.0,1.0,1.0,1.0,0,0
0.05,4,2,2,homogeneous,log_uniform,3,0.9957131635859422,0.9999999999999998,0.9980503288956832,0.9984378231011081,5,3,1.0,1.0,1.0,1.0,3,3,0.9774052724259836,0.9999999999999998,0.9868960226973827,0.9832827956661646,4,3,1.0,1.0215187612226813,1.011386821018373,1.0126417018324378,3,4
0.05,4,2,3,beta_bimodal,flat,3,0.9891917392695193,0.9964544681457829,0.9934100074382788,0.9945838148995341,20,19,0.9837964661101618,0.9951199952943112,0.9909032927568999,0.9937934168662266,20,18,0.9989729582104889,0.9997703103902281,0.9994853425518221,0.9997127590547497,18,19,0.9734429500718436,0.9907477805761395,0.9848960427529789,0.9904973976109533,20,18
0.05,4,2,3,beta_bimodal,log_uniform,3,0.9897163906092291,1.0,0.9946524116394939,0.9942408443092529,21,22,0.9507953652744826,0.9952683257383973,0.9727129198804748,0.9720750686285446,21,22,0.9989199306967821,0.9996821007525467,0.9992648880069339,0.9991926325714727,22,23,0.9417781181049021,0.9963444467908077,0.9683022139304747,0.9667840768957141,21,22
0.05,4,2,3,homogeneous,flat,3,1.0,1.0,1.0,1.0,12,12,0.9756578947368422,0.9756578947368422,0.9756578947368423,0.9756578947368422,12,12,1.0,1.0,1.0,1.0,12,12,0.9756578947368422,0.9756578947368422,0.9756578947368423,0.9756578947368422,12,12
0.05,4,2,3,homogeneous,log_uniform,3,0.9943797208781462,0.9972652022854042,0.9962635351350375,0.9971456822415621,15,16,0.9813059602893178,0.9964876649817114,0.9881459572372201,0.9866442464406311,16,15,0.9991187815481174,0.9995207634419824,0.9992827799500589,0.9992087948600767,17,15,0.9793971910834108,0.9913622231826166,0.9851517322018903,0.9846957823396436,16,15
0.05,4,3,2,beta_bimodal,flat,3,0.9991889466797604,0.9999999669488765,0.999720766991827,0.9999733873468443,31,32,0.9886207376586245,0.9999997890458611,0.9959918138092947,0.9993549147233984,31,32,0.9989161292643134,0.9999999795389322,0.9996383666013697,0.9999989910008636,31,32,0.9888907432643043,0.9999997764558078,0.996073282426738,0.9993293275601018,31,32
0.05,4,3,2,beta_bimodal,log_uniform,3,0.9991132209368732,0.9999887441509309,0.9996935006869198,0.9999785369729556,34,33,0.9861405473159779,0.9999763718482214,0.995321728122105,0.9998482652021154,34,33,0.9976300890632233,0.9999999994791998,0.999202748606415,0.9999781572768222,34,35,0.9876065982036334,0.9999869587034276,0.9958067876198432,0.999826805952469,34,33
0.05,4,3,2,homogeneous,flat,3,0.9976265071679483,0.9976265071679483,0.9976265071679483,0.9976265071679483,24,24,0.9885166856997842,0.9885166856997842,0.9885166856997842,0.9885166856997842,24,24,0.9873730181334848,0.9873730181334848,0.9873730181334848,0.9873730181334848,24,24,0.9987820512820516,0.9987820512820516,0.9987820512820514,0.9987820512820516,24,24
0.05,4,3,2,homogeneous,log_uniform,3,0.9976950451118068,0.9987902712204831,0.9982502608887499,0.9982654663339601,28,27,0.9870463078947226,0.9937117247053907,0.9913221575073677,0.9932084399219896,28,27,0.9863215127315274,0.9950785786136934,0.9915884184408034,0.9933651639771893,28,29,0.9963893382438711,0.9991387246354678,0.9979854203192353,0.9984281980783667,29,27
0.05,4,3,3,beta_bimodal,flat,3,0.9984514035336224,0.9999996576933528,0.9994821600628047,0.9999954189614388,44,42,0.9759869024194584,0.9998959691731365,0.9919167646546709,0.9998674223714179,44,42,0.9999949349101275,0.9999993971169406,0.9999977753162935,0.9999989939218126,44,42,0.9744804283820896,0.9998962297225976,0.9914135019953649,0.9998638478814078,44,42
0.05,4,3,3,beta_bimodal,log_uniform,3,0.9999549860201349,0.9999925873004599,0.99997266736048,0.9999704287608451,46,47,0.9783108158317085,0.9900171290226504,0.9856754954132083,0.9886985413852659,45,46,0.9999176097365997,0.9999992859400355,0.9999716980277888,0.999998198406731,46,45,0.9782825845210332,0.9900541352325208,0.9856765711454131,0.9886929936826855,45,46
0.05,4,3,3,homogeneous,flat,3,0.9875321095169476,0.9875321095169476,0.9875321095169477,0.9875321095169476,36,36,0.9656135008247684,0.9656135008247684,0.9656135008247683,0.9656135008247684,36,36,0.9773823695257186,0.9773823695257186,0.9773823695257186,0.9773823695257186,36,36,0.975641025641026,0.975641025641026,0.9756410256410261,0.975641025641026,36,36
0.05,4,3,3,homogeneous,log_uniform,3,0.9941982301595054,0.997764279715577,0.9963179470081078,0.996991331149241,40,41,0.9841741182555486,0.9884915167210861,0.9858652342398079,0.9849300677427889,40,41,0.9869664647200946,0.995529552322189,0.9917348974144318,0.9927086752010119,40,41,0.9891791659108433,0.9913854234307263,0.9904250115792489,0.9907104453961773,39,40
0.05,5,2,2,beta_bimodal,flat,3,0.9999926970438853,1.0,0.9999961001760816,0.99999560348436,55,54,1.0,1.0,1.0,1.0,54,54,0.999992697043885,1.0000000000000002,0.9999961001760816,0.9999956034843599,55,54,0.9999999999999999,1.0000000000000002,1.0,1.0000000000000002,54,55
0.05,5,2,2,beta_bimodal,log_uniform,3,0.9962907076927499,0.9999796037385736,0.998096543782571,0.9980193199163895,59,57,0.9731094069936442,1.0,0.9885789571018883,0.9926274643120204,57,58,0.9865691928695989,0.9999796037385734,0.9948560388415207,0.9980193199163899,59,57,0.9731094069936445,1.0024086764945213,0.9918393611627218,0.9999999999999996,57,59
0.05,5,2,2,homogeneous,flat,3,1.0,1.0,1.0,1.0,48,48,1.0,1.0,1.0,1.0,48,48,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,48,48,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,48,48
0.05,5,2,2,homogeneous,log_uniform,3,0.9999999999999998,1.0,0.9999999999999999,0.9999999999999999,52,51,0.9999999999999998,1.0,1.0,1.0,51,52,0.9999999999999999,1.0000000000000002,1.0,1.0,53,51,0.9999999999999996,1.0,0.9999999999999997,0.9999999999999998,51,53
0.05,5,2,3,beta_bimodal,flat,3,0.9913267650273118,0.9997512211200471,0.9958632204011361,0.9965116750560494,67,68,0.9995822036044498,0.9999999999999998,0.9998252307012828,0.9998934884993989,66,67,0.9994612487220846,0.9999999940832749,0.9997665662752668,0.9998384560204412,66,67,0.9913267708927196,0.9998062487974763,0.9959217642236545,0.9966322729807674,67,68
0.05,5,2,3,beta_bimodal,log_uniform,3,0.9840116985837164,0.9992944158546418,0.9909969795261032,0.9896848241399515,71,69,0.9608780503183975,0.9984553737741183,0.9823552146767863,0.9877322199378432,71,69,0.9965472144487783,0.998920050987105,0.9978067435197359,0.9979529651233242,70,71,0.946537454615396,0.9997974998443302,0.9757551618703286,0.9809305311512597,71,69
0.05,5,2,3,homogeneous,flat,3,1.0,1.0,1.0,1.0,60,60,1.0,1.0,1.0,1.0,60,60,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9999999999999996,60,60,1.0000000000000004,1.0000000000000004,1.0000000000000004,1.0000000000000004,60,60
0.05,5,2,3,homogeneous,log_uniform,3,0.9910405195019901,1.0,0.9967619046720362,0.9992451945141182,64,63,0.981555827679776,0.9914291317882213,0.985403483031309,0.9832254896259294,65,64,0.9991594011445091,0.9999999999999998,0.9994681985528756,0.9992451945141179,64,63,0.9815558276797763,0.9833730640889998,0.9827181271315686,0.9832254896259296,65,64
0.05,5,3,2,beta_bimodal,flat,3,0.9879660770329327,0.9993430086877392,0.9947593258995148,0.9969688919778726,78,80,0.9994016995881712,0.9998868513418301,0.999595980297061,0.9994993899611817,78,80,0.998037065777956,0.999905596970338,0.9989526435083199,0.9989152677766655,78,80,0.9893169406013252,0.9993242736062978,0.9953976967380447,0.9975518760065111,78,80
0.05,5,3,2,beta_bimodal,log_uniform,3,0.9921483729138234,0.9955521181685327,0.9941584143450294,0.9947747519527318,81,82,0.9739577857433477,0.9999435201442822,0.9881942981216024,0.9906815884771772,81,83,0.9958324484632982,0.9998907111063977,0.9976997206668526,0.9973760024308616,81,83,0.9703546353637685,0.9948272907922058,0.9846839574433165,0.9888699461739751,81,83
0.05,5,3,2,homogeneous,flat,3,0.9989620160302185,0.9989620160302185,0.9989620160302185,0.9989620160302185,72,72,1.0,1.0,1.0,1.0,72,72,0.9989620160302184,0.9989620160302184,0.9989620160302183,0.9989620160302184,72,72,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,72,72
0.05,5,3,2,homogeneous,log_uniform,3,0.989659922449928,0.993551860244402,0.9911871562978208,0.9903496861991322,77,75,0.9947492915529321,0.9988112228248996,0.9964470610682009,0.9957806688267707,76,75,0.9803622369355484,0.9903496861991322,0.9863282502638336,0.9882728276568202,77,76,0.9947492915529321,1.0052245816492296,1.001373473766727,1.0041465480980196,76,77
