instance,seed,base_p,n,B,G,rate_mode,utility_mode,replicate,p,u,V_star,V_laminar,V_greedy_laminar,V_rollout_laminar,V_static_binary,ratio_laminar_opt,ratio_greedy_laminar,ratio_static_opt,ratio_greedy_static,ratio_rollout_greedy,full_seconds,laminar_seconds,libraries_total,libraries_checked,best_library,practical_library
0,22054220,0.05,4,2,2,homogeneous,flat,0,"[0.05, 0.05, 0.05, 0.05]","[1.0, 1.0, 1.0, 1.0]",3.61,3.61,3.61,3.61,3.61,1.0,1.0,1.0,1.0,1.0,0.0007258339901454747,0.00029933301266282797,3,1,"[1, 2, 4, 8, 3, 12]","[1, 2, 3, 4, 8, 12]"
1,22054221,0.05,4,2,2,homogeneous,flat,1,"[0.05, 0.05, 0.05, 0.05]","[1.0, 1.0, 1.0, 1.0]",3.61,3.61,3.61,3.61,3.61,1.0,1.0,1.0,1.0,1.0,0.0007258339901454747,0.00029933301266282797,3,1,"[1, 2, 4, 8, 3, 12]","[1, 2, 3, 4, 8, 12]"
2,22054222,0.05,4,2,2,homogeneous,flat,2,"[0.05, 0.05, 0.05, 0.05]","[1.0, 1.0, 1.0, 1.0]",3.61,3.61,3.61,3.61,3.61,1.0,1.0,1.0,1.0,1.0,0.0007258339901454747,0.00029933301266282797,3,1,"[1, 2, 4, 8, 3, 12]","[1, 2, 3, 4, 8, 12]"
3,22054227,0.05,4,2,2,homogeneous,log_uniform,0,"[0.05, 0.05, 0.05, 0.05]","[1.1653797409500999, 1.0163425385924936, 0.9497031249942712, 0.8685745954631354]",3.6100000000000008,3.61,3.61,3.61,3.61,0.9999999999999998,1.0,0.9999999999999998,1.0,1.0,0.0007762920577079058,0.0001580829848535359,3,1,"[1, 2, 4, 8, 3, 12]","[1, 2, 3, 4, 8, 12]"
4,22054228,0.05,4,2,2,homogeneous,log_uniform,1,"[0.05, 0.05, 0.05, 0.05]","[0.9057121002102073, 0.2567463156639821, 2.5741944784471804, 0.2633471056786304]",3.693452554271315,3.6876827280138786,3.6876827280138786,3.6876827280138786,3.6099999999999994,0.9984378231011081,1.0,0.9774052724259836,1.0215187612226813,1.0,0.0005782499792985618,0.00046004203613847494,3,3,"[1, 2, 4, 8, 5, 10]","[1, 2, 4, 5, 8, 10]"
5,22054229,0.05,4,2,2,homogeneous,log_uniform,2,"[0.05, 0.05, 0.05, 0.05]","[2.0556279716090575, 0.14960143571790493, 0.45696844369692313, 1.3378021489761145]",3.671375128204353,3.655636543615101,3.655636543615101,3.655636543615101,3.61,0.9957131635859422,1.0,0.9832827956661646,1.0126417018324378,1.0,0.000579542014747858,0.0004610419855453074,3,3,"[1, 2, 4, 8, 9, 6]","[1, 2, 4, 6, 8, 9]"
6,22054223,0.05,4,2,2,beta_bimodal,flat,0,"[0.1962891720456306, 0.003073112632484348, 1.357266415444173e-05, 0.0006241426577303645]","[1.0, 1.0, 1.0, 1.0]",3.6014290400535898,3.6012064544110243,3.6012064544110243,3.6012064544110243,3.6012064544110247,0.999938195188607,1.0,0.9999381951886072,0.9999999999999999,1.0,0.0008549999911338091,0.0004639170365408063,3,3,"[1, 2, 4, 8, 3, 12]","[1, 2, 3, 4, 8, 12]"
7,22054224,0.05,4,2,2,beta_bimodal,flat,1,"[0.010109017647253749, 0.006961076247647493, 0.027513243474079293, 0.15541666263101933]","[1.0, 1.0, 1.0, 1.0]",3.608692772243055,3.608692772243055,3.608692772243055,3.608692772243055,3.608692772243054,1.0,1.0,0.9999999999999998,1.0000000000000002,1.0,0.0005691659753210843,0.00015204102965071797,3,1,"[1, 2, 4, 8, 3, 12]","[1, 2, 3, 4, 8, 12]"
8,22054225,0.05,4,2,2,beta_bimodal,flat,2,"[0.010645916186285777, 0.024411167460012352, 0.03952840068282722, 0.1254145156708746]","[1.0, 1.0, 1.0, 1.0]",3.61043462893934,3.61043462893934,3.6104346289393394,3.61043462893934,3.6104346289393394,1.0,0.9999999999999999,0.9999999999999999,1.0,1.0000000000000002,0.0005580839933827519,0.00014879199443385005,3,1,"[1, 2, 4, 8, 3, 12]","[1, 2, 3, 4, 8, 12]"
9,22054230,0.05,4,2,2,beta_bimodal,log_uniform,0,"[0.15932330381485363, 0.0003448512720046687, 0.00012114162204413752, 0.04021070329109763]","[0.9092854960843338, 0.49502626054128923, 0.9547126005861511, 1.6409756427882258]",3.6865936353867763,3.6711770379500526,3.6711770379500526,3.6711770379500526,3.6711770379500535,0.995818199953273,1.0,0.9958181999532733,0.9999999999999998,1.0,0.00056170899188146,0.0004479170311242342,3,3,"[1, 2, 4, 8, 3, 12]","[1, 2, 3, 4, 8, 12]"
10,22054231,0.05,4,2,2,beta_bimodal,log_uniform,1,"[0.0002739371245439688, 0.07713720301262811, 0.0020862430241685285, 0.12050261683865943]","[1.8433111323829379, 0.7153804900676797, 1.1386697956329597, 0.3026385819164227]",3.8042010261041175,3.8031206270327123,3.8031206270327123,3.8031206270327123,3.8012253123420443,0.9997159984280558,1.0,0.9992177821987708,1.000498606247968,1.0,0.0005482080159708858,0.00044058304047212005,3,3,"[1, 2, 4, 8, 5, 10]","[1, 2, 4, 5, 8, 10]"
