base_p,n,B,G,rate_mode,utility_mode,V_greedy_laminar,V_rollout_laminar,V_static_greedy,V_static_binary,ratio_greedylam_vs_greedystat,ratio_rollout_vs_greedystat
0.05,4,2,2,homogeneous,flat,3.61,3.61,3.61,3.61,1.0,1.0
0.05,4,2,2,homogeneous,log_uniform,3.61,3.61,3.61,3.61,1.0,1.0
0.05,4,2,2,homogeneous,log_uniform,3.687682728013878,3.687682728013878,3.6099999999999994,3.609999999999999,1.021518761222681,1.021518761222681
0.05,4,2,2,homogeneous,log_uniform,3.655636543615101,3.655636543615101,3.6099999999999994,3.61,1.012641701832438,1.012641701832438
0.05,4,2,2,beta_bimodal,flat,3.6012064544110243,3.6012064544110243,3.6012064544110247,3.6012064544110247,0.9999999999999999,0.9999999999999999
0.05,4,2,2,beta_bimodal,flat,3.608692772243055,3.608692772243055,3.608692772243054,3.608692772243054,1.0000000000000002,1.0000000000000002
0.05,4,2,2,beta_bimodal,flat,3.6104346289393394,3.61043462893934,3.6104346289393394,3.6104346289393394,1.0,1.0000000000000002
0.05,4,2,2,beta_bimodal,log_uniform,3.671177037950053,3.671177037950053,3.6711770379500535,3.6711770379500535,0.9999999999999999,0.9999999999999999
0.05,4,2,2,beta_bimodal,log_uniform,3.803120627032712,3.803120627032712,3.8012253123420443,3.801225312342044,1.000498606247968,1.000498606247968
0.05,4,2,2,beta_bimodal,log_uniform,3.463412144591248,3.463412144591248,3.3934180787010155,3.5591110275996165,1.0206264198123873,1.0206264198123873
0.05,4,2,3,homogeneous,flat,3.522125,3.522125,3.5626187499999995,3.61,0.9886337122095932,0.9886337122095932
0.05,4,2,3,homogeneous,log_uniform,3.651620425745465,3.651620425745465,3.6663277521411892,3.683437133626594,0.9959885401988039,0.9959885401988039
0.05,4,2,3,homogeneous,log_uniform,3.5425145166444367,3.5425145166444367,3.5895998800443096,3.617035610165168,0.9868828379280836,0.9868828379280836
0.05,4,2,3,homogeneous,log_uniform,3.5617857296506785,3.5617857296506785,3.597312345181295,3.617143277681003,0.9901241226444499,0.9901241226444499
0.05,4,2,3,beta_bimodal,flat,3.705359926660028,3.705359926660028,3.739962883898955,3.739962883898955,0.9907477805761395,0.9907477805761395
0.05,4,2,3,beta_bimodal,flat,3.747441384439792,3.747441384439792,3.7833934682498866,3.783393468249886,0.9904973976109533,0.9904973976109533
0.05,4,2,3,beta_bimodal,flat,3.6600991052186096,3.6600991052186096,3.7599523474369825,3.7599523474369825,0.9734429500718436,0.9734429500718436
0.05,4,2,3,beta_bimodal,log_uniform,3.498847078891464,3.498847078891464,3.71515010980722,3.71515010980722,0.9417781181049021,0.9417781181049021
0.05,4,2,3,beta_bimodal,log_uniform,3.8953814249215046,3.8953814249215046,3.9096734442274443,3.909673444227444,0.9963444467908077,0.9963444467908077
0.05,4,2,3,beta_bimodal,log_uniform,3.632818670959066,3.632818670959066,3.757631882626604,3.757631882626604,0.9667840768957141,0.9667840768957141
0.05,4,3,2,homogeneous,flat,3.7004875,3.705,3.7002499999999996,3.7049999999999983,1.000064184852375,1.001283697047497
0.05,4,3,2,homogeneous,log_uniform,3.751305272953693,3.7545389648693104,3.746533327717528,3.7545389648693104,1.0012736961929207,1.0021368119409362
0.05,4,3,2,homogeneous,log_uniform,3.7146113779068863,3.7204592028312553,3.7141694375338012,3.720459202831255,1.0001189876715422,1.0016934513632825
0.05,4,3,2,homogeneous,log_uniform,3.752332595229263,3.765930094999533,3.725240610650254,3.7659300949995327,1.0072725462354177,1.010922645971632
0.05,4,3,2,beta_bimodal,flat,3.797441362646886,3.799577823896593,3.7975407975820143,3.799989911152186,0.9999738159665877,1.0005364066966378
0.05,4,3,2,beta_bimodal,flat,3.747459350747392,3.769655168041523,3.749050828357825,3.7895585293650536,0.9995754985239478,1.0054958816583246
0.05,4,3,2,beta_bimodal,flat,3.799999020943899,3.7999994328234634,3.7999991206207544,3.799999870411801,0.9999999737692425,1.0000000821586266
0.05,4,3,2,beta_bimodal,log_uniform,3.896238161704029,3.896313639745115,3.8961745678613373,3.896288974364076,1.0000163221235558,1.0000356944693711
0.05,4,3,2,beta_bimodal,log_uniform,3.6647758619429527,3.71076486184767,3.630612602678549,3.71076486184767,1.0094097781843205,1.0220767864657294
0.05,4,3,2,beta_bimodal,log_uniform,3.692865784420601,3.692867349674803,3.693002206137764,3.693505477583842,0.999963059400036,0.9999634832433252
0.05,4,3,3,homogeneous,flat,3.61475,3.705,3.6957374999999995,3.7049999999999983,0.9780862412441361,1.0025062656641606
0.05,4,3,3,homogeneous,log_uniform,3.722474835565302,3.7334463648942022,3.7015508042612675,3.763195752447556,1.0056527743128492,1.008616810174864
0.05,4,3,3,homogeneous,log_uniform,3.7094680198578143,3.731463183725724,3.7197820649694324,3.741701191269347,0.9972272447870671,1.003140269658886
0.05,4,3,3,homogeneous,log_uniform,3.7409594893105553,3.7452912036170822,3.699212008841926,3.776037193001004,1.0112855063102206,1.0124564892915078
0.05,4,3,3,beta_bimodal,flat,3.7996028095987713,3.799604286964846,3.799989819709999,3.799997136355739,0.9998981549610422,0.9998985437426298
0.05,4,3,3,beta_bimodal,flat,3.799477781432567,3.799555385492316,3.799773834486004,3.799995158824081,0.9999220866645404,0.9999425100010676
0.05,4,3,3,beta_bimodal,flat,3.702600798477144,3.709729241756939,3.755393389519013,3.7995640452466537,0.9859421941815181,0.9878403823446251
0.05,4,3,3,beta_bimodal,log_uniform,3.684953902336895,3.6862558242658032,3.763825765898662,3.766758154180008,0.9790447623063829,0.9793906661844806
0.05,4,3,3,beta_bimodal,log_uniform,3.821827540976702,3.822403353892892,3.8584375113114686,3.86022077477523,0.9905117109639744,0.9906609457032961
0.05,4,3,3,beta_bimodal,log_uniform,3.8610935454194473,3.861315159961587,3.904710378025368,3.905250234491537,0.9888296881501418,0.9888864438428014
0.05,5,2,2,homogeneous,flat,3.61,3.61,3.61,3.61,1.0,1.0
0.05,5,2,2,homogeneous,log_uniform,4.356783822990497,4.356783822990497,4.356783822990496,4.356783822990499,1.0000000000000002,1.0000000000000002
