p,n,B,G,ratio_laminar_opt
0.05,4,1,2,1.0
0.05,4,2,2,1.0
0.05,4,1,3,1.0
0.05,4,2,3,1.0
0.05,5,1,2,1.0
0.05,5,2,2,1.0
0.05,5,1,3,1.0
0.05,5,2,3,1.0
0.05,6,1,2,1.0
0.05,6,2,2,1.0
0.05,6,1,3,1.0
0.05,6,2,3,1.0
0.075,4,1,2,1.0
0.075,4,2,2,1.0
0.075,4,1,3,1.0
0.075,4,2,3,1.0
0.075,5,1,2,1.0
0.075,5,2,2,1.0
0.075,5,1,3,1.0
0.075,5,2,3,1.0
0.075,6,1,2,1.0
0.075,6,2,2,1.0
0.075,6,1,3,1.0
0.075,6,2,3,1.0
0.1,4,1,2,1.0
0.1,4,2,2,1.0
0.1,4,1,3,1.0
0.1,4,2,3,1.0
0.1,5,1,2,1.0
0.1,5,2,2,1.0
0.1,5,1,3,1.0
0.1,5,2,3,1.0
0.1,6,1,2,1.0
0.1,6,2,2,1.0
0.1,6,1,3,1.0
0.1,6,2,3,1.0
0.125,4,1,2,1.0
0.125,4,2,2,1.0
0.125,4,1,3,1.0
0.125,4,2,3,1.0
0.125,5,1,2,1.0
0.125,5,2,2,1.0
0.125,5,1,3,1.0
0.125,5,2,3,1.0
0.125,6,1,2,1.0
0.125,6,2,2,1.0
0.125,6,1,3,1.0
0.125,6,2,3,1.0
0.15,4,1,2,1.0
0.15,4,2,2,1.0
0.15,4,1,3,1.0
0.15,4,2,3,1.0
0.15,5,1,2,1.0
0.15,5,2,2,1.0
0.15,5,1,3,1.0
0.15,5,2,3,1.0
0.15,6,1,2,1.0
0.15,6,2,2,1.0
0.15,6,1,3,1.0
0.15,6,2,3,1.0
0.175,4,1,2,1.0
0.175,4,2,2,1.0
0.175,4,1,3,1.0
0.175,4,2,3,1.0
0.175,5,1,2,1.0
0.175,5,2,2,1.0
0.175,5,1,3,1.0
0.175,5,2,3,1.0
0.175,6,1,2,1.0
0.175,6,2,2,1.0
0.175,6,1,3,1.0
0.175,6,2,3,1.0
0.2,4,1,2,1.0
0.2,4,2,2,1.0
0.2,4,1,3,1.0
0.2,4,2,3,1.0
0.2,5,1,2,1.0
0.2,5,2,2,1.0
0.2,5,1,3,1.0
0.2,5,2,3,1.0
0.2,6,1,2,1.0
0.2,6,2,2,1.0
0.2,6,1,3,1.0
0.2,6,2,3,1.0
0.225,4,1,2,1.0
0.225,4,2,2,1.0
0.225,4,1,3,1.0
0.225,4,2,3,1.0
0.225,5,1,2,1.0
0.225,5,2,2,1.0
0.225,5,1,3,1.0
0.225,5,2,3,1.0
0.225,6,1,2,1.0
0.225,6,2,2,1.0
0.225,6,1,3,1.0
0.225,6,2,3,1.0
0.25,4,1,2,1.0
0.25,4,2,2,1.0
0.25,4,1,3,1.0
0.25,4,2,3,1.0
0.25,5,1,2,1.0
0.25,5,2,2,1.0
0.25,5,1,3,1.0
0.25,5,2,3,1.0
0.25,6,1,2,1.0
0.25,6,2,2,1.0
0.25,6,1,3,1.0
0.25,6,2,3,1.0
0.275,4,1,2,1.0
0.275,4,2,2,1.0
0.275,4,1,3,1.0
0.275,4,2,3,1.0
0.275,5,1,2,1.0
0.275,5,2,2,1.0
0.275,5,1,3,1.0
0.275,5,2,3,1.0
0.275,6,1,2,1.0
0.275,6,2,2,1.0
0.275,6,1,3,1.0
0.275,6,2,3,1.0
0.3,4,1,2,1.0
0.3,4,2,2,1.0
0.3,4,1,3,1.0
0.3,4,2,3,1.0
0.3,5,1,2,1.0
0.3,5,2,2,1.0
0.3,5,1,3,1.0
0.3,5,2,3,1.0
0.3,6,1,2,1.0
0.3,6,2,2,1.0
0.3,6,1,3,1.0
0.3,6,2,3,1.0
0.325,4,1,2,1.0
0.325,4,2,2,1.0
0.325,4,1,3,1.0
0.325,4,2,3,1.0
0.325,5,1,2,1.0
0.325,5,2,2,1.0
0.325,5,1,3,1.0
0.325,5,2,3,1.0
0.325,6,1,2,1.0
0.325,6,2,2,1.0
0.325,6,1,3,1.0
0.325,6,2,3,1.0
0.35,4,1,2,1.0
0.35,4,2,2,0.9999999999999999
0.35,4,1,3,1.0
0.35,4,2,3,0.9999999999999999
0.35,5,1,2,1.0
0.35,5,2,2,1.0
0.35,5,1,3,1.0
0.35,5,2,3,1.0
0.35,6,1,2,1.0
0.35,6,2,2,0.9999999999999999
0.35,6,1,3,1.0
0.35,6,2,3,0.9999999999999999
0.375,4,1,2,1.0
0.375,4,2,2,1.0
0.375,4,1,3,1.0
0.375,4,2,3,1.0
0.375,5,1,2,1.0
0.375,5,2,2,1.0
0.375,5,1,3,1.0
0.375,5,2,3,1.0
0.375,6,1,2,1.0
0.375,6,2,2,1.0
0.375,6,1,3,1.0
0.375,6,2,3,1.0
0.4,4,1,2,1.0
0.4,4,2,2,1.0
0.4,4,1,3,1.0
0.4,4,2,3,1.0
0.4,5,1,2,0.9999999999999999
0.4,5,2,2,1.0
0.4,5,1,3,0.9999999999999999
0.4,5,2,3,1.0
0.4,6,1,2,0.9999999999999999
0.4,6,2,2,1.0
0.4,6,1,3,0.9999999999999999
0.4,6,2,3,1.0
0.425,4,1,2,1.0
0.425,4,2,2,1.0
0.425,4,1,3,1.0
0.425,4,2,3,1.0
0.425,5,1,2,0.9999999999999998
0.425,5,2,2,0.9999999999999997
0.425,5,1,3,0.9999999999999998
0.425,5,2,3,0.9999999999999997
0.425,6,1,2,1.0
0.425,6,2,2,1.0
0.425,6,1,3,1.0
0.425,6,2,3,1.0
0.45,4,1,2,1.0
0.45,4,2,2,1.0
0.45,4,1,3,1.0
0.45,4,2,3,1.0
0.45,5,1,2,1.0
0.45,5,2,2,1.0
0.45,5,1,3,1.0
0.45,5,2,3,1.0
0.45,6,1,2,1.0
0.45,6,2,2,1.0
0.45,6,1,3,1.0
0.45,6,2,3,1.0
0.475,4,1,2,1.0
0.475,4,2,2,1.0
0.475,4,1,3,1.0
0.475,4,2,3,1.0
0.475,5,1,2,1.0
0.475,5,2,2,1.0
0.475,5,1,3,1.0
0.475,5,2,3,1.0
0.475,6,1,2,1.0
0.475,6,2,2,1.0
0.475,6,1,3,1.0
0.475,6,2,3,1.0
0.5,4,1,2,1.0
0.5,4,2,2,1.0
0.5,4,1,3,1.0
0.5,4,2,3,1.0
0.5,5,1,2,1.0
0.5,5,2,2,1.0
0.5,5,1,3,1.0
0.5,5,2,3,1.0
0.5,6,1,2,1.0
0.5,6,2,2,1.0
0.5,6,1,3,1.0
0.5,6,2,3,1.0
0.525,4,1,2,1.0
0.525,4,2,2,1.0
0.525,4,1,3,1.0
0.525,4,2,3,1.0
0.525,5,1,2,1.0
0.525,5,2,2,1.0
0.525,5,1,3,1.0
0.525,5,2,3,1.0
0.525,6,1,2,1.0
0.525,6,2,2,1.0
0.525,6,1,3,1.0
0.525,6,2,3,1.0
0.55,4,1,2,1.0
0.55,4,2,2,1.0
0.55,4,1,3,1.0
0.55,4,2,3,1.0
0.55,5,1,2,1.0
0.55,5,2,2,1.0
0.55,5,1,3,1.0
0.55,5,2,3,1.0
0.55,6,1,2,1.0
0.55,6,2,2,1.0
0.55,6,1,3,1.0
0.55,6,2,3,1.0
0.575,4,1,2,1.0
0.575,4,2,2,1.0
0.575,4,1,3,1.0
0.575,4,2,3,1.0
0.575,5,1,2,1.0
0.575,5,2,2,1.0
0.575,5,1,3,1.0
0.575,5,2,3,1.0
0.575,6,1,2,1.0
0.575,6,2,2,1.0
0.575,6,1,3,1.0
0.575,6,2,3,1.0
0.6,4,1,2,1.0
0.6,4,2,2,1.0
0.6,4,1,3,1.0
0.6,4,2,3,1.0
0.6,5,1,2,1.0
0.6,5,2,2,1.0
0.6,5,1,3,1.0
0.6,5,2,3,1.0
0.6,6,1,2,1.0
0.6,6,2,2,1.0
0.6,6,1,3,1.0
0.6,6,2,3,1.0
0.625,4,1,2,1.0
0.625,4,2,2,1.0
0.625,4,1,3,1.0
0.625,4,2,3,1.0
0.625,5,1,2,1.0
0.625,5,2,2,1.0
0.625,5,1,3,1.0
0.625,5,2,3,1.0
0.625,6,1,2,1.0
0.625,6,2,2,1.0
0.625,6,1,3,1.0
0.625,6,2,3,1.0
0.65,4,1,2,1.0
0.65,4,2,2,1.0
0.65,4,1,3,1.0
0.65,4,2,3,1.0
0.65,5,1,2,1.0
0.65,5,2,2,1.0
0.65,5,1,3,1.0
0.65,5,2,3,1.0
0.65,6,1,2,1.0
0.65,6,2,2,1.0
0.65,6,1,3,1.0
0.65,6,2,3,1.0
0.675,4,1,2,1.0
0.675,4,2,2,1.0
0.675,4,1,3,1.0
0.675,4,2,3,1.0
0.675,5,1,2,1.0
0.675,5,2,2,1.0
0.675,5,1,3,1.0
0.675,5,2,3,1.0
0.675,6,1,2,1.0
0.675,6,2,2,1.0
0.675,6,1,3,1.0
0.675,6,2,3,1.0
0.7,4,1,2,1.0
0.7,4,2,2,1.0
0.7,4,1,3,1.0
0.7,4,2,3,1.0
0.7,5,1,2,1.0
0.7,5,2,2,1.0
0.7,5,1,3,1.0
0.7,5,2,3,1.0
0.7,6,1,2,1.0
0.7,6,2,2,1.0
0.7,6,1,3,1.0
0.7,6,2,3,1.0
0.725,4,1,2,1.0
0.725,4,2,2,1.0
0.725,4,1,3,1.0
0.725,4,2,3,1.0
0.725,5,1,2,1.0
0.725,5,2,2,1.0
0.725,5,1,3,1.0
0.725,5,2,3,1.0
0.725,6,1,2,1.0
0.725,6,2,2,1.0
0.725,6,1,3,1.0
0.725,6,2,3,1.0
0.75,4,1,2,1.0
0.75,4,2,2,1.0
0.75,4,1,3,1.0
0.75,4,2,3,1.0
0.75,5,1,2,1.0
0.75,5,2,2,1.0
0.75,5,1,3,1.0
0.75,5,2,3,1.0
0.75,6,1,2,1.0
0.75,6,2,2,1.0
0.75,6,1,3,1.0
0.75,6,2,3,1.0
0.775,4,1,2,1.0
0.775,4,2,2,1.0
0.775,4,1,3,1.0
0.775,4,2,3,1.0
0.775,5,1,2,1.0
0.775,5,2,2,1.0
0.775,5,1,3,1.0
0.775,5,2,3,1.0
0.775,6,1,2,1.0
0.775,6,2,2,1.0
0.775,6,1,3,1.0
0.775,6,2,3,1.0
0.8,4,1,2,1.0
0.8,4,2,2,1.0
0.8,4,1,3,1.0
0.8,4,2,3,1.0
0.8,5,1,2,1.0
0.8,5,2,2,1.0
0.8,5,1,3,1.0
0.8,5,2,3,1.0
0.8,6,1,2,1.0
0.8,6,2,2,1.0
0.8,6,1,3,1.0
0.8,6,2,3,1.0
0.825,4,1,2,1.0
