replicate,category,compatible,pool,tv_product,tv_atom,gap_clean_product,exact_pmf,product_pmf,atom_pmf
0,disjoint,1,192,6.938893903907228e-17,6.938893903907228e-17,2.7755575615628914e-17,"[0.2266377413402974, 0.5736821002975301, 0.19968015836217254]","[0.22663774134029743, 0.57368210029753, 0.19968015836217254]","[0.22663774134029743, 0.57368210029753, 0.19968015836217254]"
0,observed_node,1,15,0.5384738424780648,0.0,0.02434508053395052,"[0.0, 0.0, 1.0, 0.0, 0.0]","[0.02434508053395052, 0.24489184070508188, 0.46152615752193504, 0.2448918407050819, 0.024345080533950517]","[0.0, 0.0, 1.0, 0.0, 0.0]"
0,nested_compatible,1,12,0.4828776795177717,0.0,0.2414388397588858,"[0.0, 1.0, 0.0]","[0.2414388397588858, 0.5171223204822283, 0.2414388397588859]","[0.0, 1.0, 0.0]"
0,crossing_nonlaminar,0,19,0.20166664616399638,0.0,0.0,"[0.0, 0.0, 1.0, 0.0]","[0.0, 0.10083332308199817, 0.7983333538360036, 0.10083332308199813]","[0.0, 0.0, 1.0, 0.0]"
1,disjoint,1,192,3.469446951953614e-18,3.469446951953614e-18,0.0,"[0.5056844407779568, 0.43385995349627604, 0.06045560572576711]","[0.5056844407779568, 0.43385995349627604, 0.060455605725767116]","[0.5056844407779568, 0.43385995349627604, 0.060455605725767116]"
1,observed_node,1,15,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 1.0]"
1,nested_compatible,1,12,0.0,0.0,0.0,"[0.0, 0.0, 1.0]","[0.0, 0.0, 1.0]","[0.0, 0.0, 1.0]"
1,crossing_nonlaminar,0,19,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0, 1.0]"
2,disjoint,1,192,8.326672684688674e-17,5.551115123125783e-17,5.551115123125783e-17,"[0.39872728550632275, 0.4656345394506498, 0.1356381750430274]","[0.3987272855063228, 0.4656345394506499, 0.1356381750430274]","[0.3987272855063228, 0.46563453945064986, 0.1356381750430274]"
2,observed_node,1,15,0.0,0.0,0.0,"[1.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0]"
2,nested_compatible,1,12,0.0,0.0,0.0,"[1.0, 0.0, 0.0]","[1.0, 0.0, 0.0]","[1.0, 0.0, 0.0]"
