n,S,replicate,exact_value,true_selected_value,value_ratio,true_regret,empirical_objective,empirical_bruteforce,empirical_identity_error,pool_match,selected_pool,exact_pool,mip_gap
6,25,0,0.7348515780913283,0.7348515780913283,1.0,0.0,0.7286219899805694,0.7286219899805694,0.0,1,40,40,0.0
6,25,1,2.517876808798594,1.8515599040236093,0.735365565762958,0.6663169047749848,2.043277968867092,2.043277968867092,0.0,0,6,36,0.0
6,25,2,1.6600499026861197,1.6600499026861197,1.0,0.0,1.8533250533619383,1.8533250533619383,0.0,1,41,41,0.0
6,25,3,2.797637156488265,2.797637156488265,1.0,0.0,4.00649049043072,4.00649049043072,0.0,1,12,12,0.0
6,50,0,0.7348515780913283,0.7348515780913283,1.0,0.0,0.7566459126721299,0.7566459126721299,0.0,1,40,40,0.0
6,50,1,2.517876808798594,2.517876808798594,1.0,0.0,2.5344799765313817,2.5344799765313817,0.0,1,36,36,0.0
6,50,2,1.6600499026861197,1.594802502557224,0.9606955188375247,0.06524740012889563,1.545222118213302,1.545222118213302,0.0,0,9,41,0.0
6,50,3,2.797637156488265,2.797637156488265,1.0,0.0,3.5512074801545017,3.5512074801545017,0.0,1,12,12,0.0
6,100,0,0.7348515780913283,0.7348515780913283,1.0,0.0,0.6585621832516687,0.6585621832516687,0.0,1,40,40,0.0
6,100,1,2.517876808798594,2.517876808798594,1.0,0.0,2.419276341234501,2.419276341234501,0.0,1,36,36,0.0
6,100,2,1.6600499026861197,1.6600499026861197,1.0,0.0,1.6602703603034037,1.6602703603034037,0.0,1,41,41,0.0
6,100,3,2.797637156488265,2.797637156488265,1.0,0.0,3.00486786782304,3.00486786782304,0.0,1,12,12,0.0
6,250,0,0.7348515780913283,0.7348515780913283,1.0,0.0,0.7286219899805694,0.7286219899805694,0.0,1,40,40,0.0
6,250,1,2.517876808798594,2.517876808798594,1.0,0.0,2.5498404612376318,2.5498404612376318,0.0,1,36,36,0.0
6,250,2,1.6600499026861197,1.6600499026861197,1.0,0.0,1.5753262953576472,1.5753262953576472,0.0,1,41,41,0.0
6,250,3,2.797637156488265,2.797637156488265,1.0,0.0,2.5495848575468205,2.5495848575468205,0.0,1,12,12,0.0
6,500,0,0.7348515780913283,0.7348515780913283,1.0,0.0,0.725819597711413,0.725819597711413,0.0,1,40,40,0.0
6,500,1,2.517876808798594,2.517876808798594,1.0,0.0,2.373194887115747,2.373194887115747,0.0,1,36,36,0.0
6,500,2,1.6600499026861197,1.6600499026861197,1.0,0.0,1.583048483079988,1.583048483079988,0.0,1,41,41,0.0
6,500,3,2.797637156488265,2.797637156488265,1.0,0.0,2.686169760629685,2.686169760629685,0.0,1,12,12,0.0
8,25,0,2.7652202253933327,2.7652202253933327,1.0,0.0,3.2374410683885473,3.2374410683885473,0.0,1,56,56,0.0
8,25,1,3.6721028580987918,3.6721028580987918,1.0,0.0,3.502930542003107,3.502930542003107,0.0,1,17,17,0.0
8,25,2,3.059430302847432,2.2585110385176805,0.7382129399763314,0.8009192643297514,3.161751409186906,3.161751409186906,0.0,0,131,192,0.0
8,25,3,3.440053457014629,3.37241222587984,0.9803371569715402,0.06764123113478915,3.062812247212592,3.062812247212592,0.0,0,200,192,0.0
8,50,0,2.7652202253933327,2.7652202253933327,1.0,0.0,2.6593265918905935,2.6593265918905935,0.0,1,56,56,0.0
8,50,1,3.6721028580987918,3.6721028580987918,1.0,0.0,3.5863336501460377,3.5863336501460377,0.0,1,17,17,0.0
8,50,2,3.059430302847432,3.059430302847432,1.0,0.0,3.000686540260323,3.000686540260323,0.0,1,192,192,0.0
8,50,3,3.440053457014629,3.440053457014629,1.0,0.0,3.327007974238848,3.327007974238848,0.0,1,192,192,0.0
8,100,0,2.7652202253933327,2.7652202253933327,1.0,0.0,2.890572382489775,2.890572382489775,0.0,1,56,56,0.0
8,100,1,3.6721028580987918,3.624179263703198,0.9869492777714822,0.04792359439559357,3.613006727341165,3.613006727341165,0.0,0,145,17,0.0
8,100,2,3.059430302847432,2.6224640493569953,0.85717398004336,0.4369662534904366,2.8978937360469654,2.8978937360469654,0.0,0,130,192,0.0
8,100,3,3.440053457014629,3.440053457014629,1.0,0.0,3.6294632446241986,3.6294632446241986,0.0,1,192,192,0.0
8,250,0,2.7652202253933327,2.7652202253933327,1.0,0.0,2.6824511709505097,2.6824511709505097,0.0,1,56,56,0.0
8,250,1,3.6721028580987918,3.624179263703198,0.9869492777714822,0.04792359439559357,3.6130067273411623,3.6130067273411623,0.0,0,145,17,0.0
8,250,2,3.059430302847432,3.059430302847432,1.0,0.0,3.045141155671586,3.045141155671586,0.0,1,192,192,0.0
8,250,3,3.440053457014629,3.440053457014629,1.0,0.0,3.407662713008273,3.407662713008273,0.0,1,192,192,0.0
8,500,0,2.7652202253933327,2.7652202253933327,1.0,0.0,2.913696961549691,2.913696961549691,0.0,1,56,56,0.0
8,500,1,3.6721028580987918,3.6721028580987918,1.0,0.0,3.6280352042175004,3.6280352042175004,0.0,1,17,17,0.0
8,500,2,3.059430302847432,3.059430302847432,1.0,0.0,3.000686540260321,3.000686540260321,0.0,1,192,192,0.0
8,500,3,3.440053457014629,3.440053457014629,1.0,0.0,3.4278263977006285,3.4278263977006285,0.0,1,192,192,0.0
10,25,0,1.2560842788622089,1.2046836171437136,0.9590786521386485,0.05140066171849522,1.1340998826264377,1.1340998826264377,0.0,0,80,88,0.0
10,25,1,3.1127172492330297,3.1127172492330297,1.0,0.0,3.5969164763251853,3.5969164763251853,0.0,1,280,280,0.0
10,25,2,3.893507003821277,3.893507003821277,1.0,0.0,4.091175251062161,4.091175251062161,0.0,1,131,131,0.0
10,25,3,2.2746679195492234,1.677220863762251,0.7373475703190249,0.5974470557869724,2.3211962919847506,2.3211962919847506,0.0,0,388,133,0.0
10,50,0,1.2560842788622089,1.2046836171437136,0.9590786521386485,0.05140066171849522,1.2097065414682002,1.2097065414682002,0.0,0,80,88,0.0
10,50,1,3.1127172492330297,3.1127172492330297,1.0,0.0,3.2841411305577775,3.2841411305577775,0.0,1,280,280,0.0
10,50,2,3.893507003821277,3.893507003821277,1.0,0.0,3.7681877312414636,3.7681877312414636,0.0,1,131,131,0.0
10,50,3,2.2746679195492234,2.2746679195492234,1.0,0.0,2.276087911982074,2.276087911982074,0.0,1,133,133,0.0
10,100,0,1.2560842788622089,1.2046836171437136,0.9590786521386485,0.05140066171849522,1.19080487675776,1.19080487675776,0.0,0,80,88,0.0
10,100,1,3.1127172492330297,3.1127172492330297,1.0,0.0,3.2059472941159264,3.2059472941159264,0.0,1,280,280,0.0
10,100,2,3.893507003821277,3.893507003821277,1.0,0.0,3.7681877312414644,3.7681877312414644,0.0,1,131,131,0.0
10,100,3,2.2746679195492234,2.2746679195492234,1.0,0.0,2.149638583538626,2.149638583538626,0.0,1,133,133,0.0
10,250,0,1.2560842788622089,1.2560842788622089,1.0,0.0,1.299731691127295,1.299731691127295,0.0,1,88,88,0.0
10,250,1,3.1127172492330297,3.1127172492330297,1.0,0.0,3.1277534576740718,3.1277534576740718,0.0,1,280,280,0.0
10,250,2,3.893507003821277,3.893507003821277,1.0,0.0,3.854317736526981,3.854317736526981,0.0,1,131,131,0.0
10,250,3,2.2746679195492234,2.2746679195492234,1.0,0.0,2.2507980462933834,2.2507980462933834,0.0,1,133,133,0.0
10,500,0,1.2560842788622089,1.2560842788622089,1.0,0.0,1.3816967527299167,1.3816967527299167,0.0,1,88,88,0.0
