base_p,n,B,G,rate_mode,replicate,virgen,anidada,mixta,decisiones,anidada_tras_conteo_bajo,decisiones_libres,anida_pudiendo_no
0.1,5,3,3,homogeneous,0,0.6666666666666667,0.3333333333333333,0.0,2.999999999999999,0.19926000000000005,1.9999999999999996,0.0
0.1,5,3,3,homogeneous,1,0.6666666666666667,0.3333333333333333,0.0,2.999999999999999,0.19926000000000005,1.9999999999999996,0.0
0.1,5,3,3,homogeneous,2,0.6666666666666667,0.3333333333333333,0.0,2.999999999999999,0.19926000000000005,1.9999999999999996,0.0
0.1,5,3,3,homogeneous,3,0.6666666666666667,0.3333333333333333,0.0,2.999999999999999,0.19926000000000005,1.9999999999999996,0.0
0.1,6,3,3,homogeneous,0,0.6666666666666661,0.3136503333333331,0.019682999999999985,3.0000000000000027,0.17738999999999985,2.0,0.0
0.1,6,3,3,homogeneous,1,0.6666666666666661,0.3136503333333331,0.019682999999999985,3.0000000000000027,0.17738999999999985,2.0,0.0
0.1,6,3,3,homogeneous,2,0.6666666666666661,0.3136503333333331,0.019682999999999985,3.0000000000000027,0.17738999999999985,2.0,0.0
0.1,6,3,3,homogeneous,3,0.6666666666666661,0.3136503333333331,0.019682999999999985,3.0000000000000027,0.17738999999999985,2.0,0.0
0.1,5,3,3,beta_bimodal,0,0.6665683345538883,0.3326322961765714,0.0007993692695406333,2.9999999999999987,0.1855557924847515,2.002388235742826,0.0013400159036424362
0.1,5,3,3,beta_bimodal,1,0.6478509407854787,0.3333333333333332,0.018815725881187677,3.0000000000000013,0.1905166286571084,2.0,0.028223588821781526
0.1,5,3,3,beta_bimodal,2,0.6599163020762712,0.2981060813063287,0.04197761661740015,3.0,0.2019639774280103,2.1054520598698536,0.05970364086504529
0.1,5,3,3,beta_bimodal,3,0.6666383146292578,0.33323494401133347,0.0001267413594084288,3.000000000000001,0.16898814832975043,2.0002963198587453,0.000190659737351954
0.1,6,3,3,beta_bimodal,0,0.6634317951811428,0.3206368308902577,0.015931373928599692,3.0,0.17253715637765174,2.038089507329227,0.02345045279607465
0.1,6,3,3,beta_bimodal,1,0.9911275968641063,0.008806965213607205,6.543792228658271e-05,2.9999999999999996,0.0,2.9999999999999996,0.008872403135893788
0.1,6,3,3,beta_bimodal,2,0.9980312826025401,0.0018705807897673357,9.813660769261953e-05,2.9999999999999996,0.0,2.9999999999999996,0.001968717397459955
0.1,6,3,3,beta_bimodal,3,0.9981515281747352,0.00182360698927121,2.486483599364976e-05,3.0000000000000004,0.0,3.0000000000000004,0.0018484718252648599
0.2,5,3,3,homogeneous,0,0.6666666666666667,0.33333333333333326,0.0,2.999999999999999,0.11605333333333334,1.9999999999999998,0.0
0.2,5,3,3,homogeneous,1,0.6666666666666667,0.33333333333333326,0.0,2.999999999999999,0.11605333333333334,1.9999999999999998,0.0
0.2,5,3,3,homogeneous,2,0.6666666666666667,0.33333333333333326,0.0,2.999999999999999,0.11605333333333334,1.9999999999999998,0.0
0.2,5,3,3,homogeneous,3,0.6666666666666667,0.33333333333333326,0.0,2.999999999999999,0.11605333333333334,1.9999999999999998,0.0
0.2,6,3,3,homogeneous,0,0.6666666666666667,0.28418133333333323,0.04915199999999999,2.9999999999999996,0.08874666666666665,1.9999999999999998,0.0
0.2,6,3,3,homogeneous,1,0.6666666666666667,0.28418133333333323,0.04915199999999999,2.9999999999999996,0.08874666666666665,1.9999999999999998,0.0
0.2,6,3,3,homogeneous,2,0.6666666666666667,0.28418133333333323,0.04915199999999999,2.9999999999999996,0.08874666666666665,1.9999999999999998,0.0
0.2,6,3,3,homogeneous,3,0.6666666666666667,0.28418133333333323,0.04915199999999999,2.9999999999999996,0.08874666666666665,1.9999999999999998,0.0
0.2,5,3,3,beta_bimodal,0,0.990981965233502,0.0005165276405065423,0.008501507125991568,3.0,0.0,3.0,0.009018034766498111
0.2,5,3,3,beta_bimodal,1,0.9417350890808347,0.005320515255312003,0.052944395663853436,2.9999999999999996,0.0,2.9999999999999996,0.05826491091916544
0.2,5,3,3,beta_bimodal,2,0.9726090082631874,0.013646741632909956,0.013744250103902603,3.0,0.0,3.0,0.02739099173681257
0.2,5,3,3,beta_bimodal,3,0.9919117031261472,0.0012939260176512877,0.006794370856201558,3.0,0.0,3.0,0.008088296873852844
0.2,6,3,3,beta_bimodal,0,0.7821525210838978,0.0013984991764922025,0.21644897973961003,2.9999999999999996,0.0,2.9999999999999996,0.21784747891610223
0.2,6,3,3,beta_bimodal,1,0.8309940386213701,0.12467941741847079,0.0443265439601588,3.000000000000001,0.0,3.000000000000001,0.1690059613786296
0.2,6,3,3,beta_bimodal,2,0.8472840033135092,0.10822569029494475,0.04449030639154609,3.000000000000001,0.0,3.000000000000001,0.15271599668649083
0.2,6,3,3,beta_bimodal,3,0.901371448803071,0.09266885800346865,0.005959693193460367,2.999999999999999,0.0,2.999999999999999,0.09862855119692902
0.3,5,3,3,homogeneous,0,0.6666666666666666,0.33333333333333326,0.0,3.000000000000001,0.0663133333333333,2.0000000000000004,0.0
