Constraints,algorithm,Average Expected Welfare
"N = G = 3, B = 2",Non-Grouped,0.6671 (0.03448)
"N = G = 3, B = 2",Augmented Counting Greedy,0.6817 (0.03714)
"N = G = 3, B = 2",Augmented Greedy Dynamic,0.6817 (0.03714)
"N = G = 3, B = 2",Static Non-Overlapping,0.6864 (0.03727)
"N = G = 3, B = 2",Static Overlapping,0.6904 (0.03819)
"N = G = 3, B = 2",Classical Dynamic Optimal,0.6972 (0.03878)
"N = G = 3, B = 2",Augmented Dynamic Optimal,0.6999 (0.03891)
"N = G = 3, B = 2",Upper Bound,0.7490 (0.04119)
"N = G = 5, B = 3",Non-Grouped,1.0682 (0.03995)
"N = G = 5, B = 3",Static Non-Overlapping,1.0941 (0.04175)
"N = G = 5, B = 3",Augmented Counting Greedy,1.0958 (0.04228)
"N = G = 5, B = 3",Augmented Greedy Dynamic,1.1013 (0.04262)
"N = G = 5, B = 3",Static Overlapping,1.1024 (0.04246)
"N = G = 5, B = 3",Classical Dynamic Optimal,1.1178 (0.04332)
"N = G = 5, B = 3",Augmented Dynamic Optimal,1.1525 (0.04431)
"N = G = 5, B = 3",Upper Bound,1.2370 (0.04693)
