label,n,B,G,cap,value,frac
baja_n4,4,2,3,1,5.908976,0.0
baja_n4,4,2,3,2,5.922352,1.0
baja_n4,4,2,3,3,5.922352,1.0
media_n4,4,2,3,1,3.52,0.0
media_n4,4,2,3,2,3.58,1.0
media_n4,4,2,3,3,3.58,1.0
media_n5,5,3,3,1,4.764,0.0
media_n5,5,3,3,2,5.025,1.0
media_n5,5,3,3,3,5.025,1.0
alta_n5,5,3,3,1,3.0,0.0
alta_n5,5,3,3,2,3.076,1.0
alta_n5,5,3,3,3,3.076,1.0
horizonte_b1_n4,4,1,3,1,2.4,0.0
horizonte_b1_n4,4,1,3,2,2.4,0.0
horizonte_b1_n4,4,1,3,3,2.4,0.0
media_n5_g4,5,3,4,1,4.165,0.0
media_n5_g4,5,3,4,2,4.424,1.0
media_n5_g4,5,3,4,3,4.424,1.0
media_n5_g4,5,3,4,4,4.424,1.0
alta_n5_g4,5,3,4,1,3.5,0.0
alta_n5_g4,5,3,4,2,3.547,1.0
alta_n5_g4,5,3,4,3,3.547,1.0
alta_n5_g4,5,3,4,4,3.547,1.0
mixta_n6_g4,6,3,4,1,4.967923,0.0
mixta_n6_g4,6,3,4,2,5.297456,0.845369
mixta_n6_g4,6,3,4,3,5.357733,1.0
mixta_n6_g4,6,3,4,4,5.357733,1.0
