model,G,B,N,kmax,inst,w_myopic,w_rollout,first_pool_diff,pred_gain_step1
binary,5,5,50,24,0,31.0,31.0,1,0.292234
binary,5,5,50,24,1,14.0,15.0,1,0.13931
binary,5,5,50,24,2,13.0,13.0,1,0.173013
binary,5,5,50,24,3,33.0,33.0,1,0.368686
binary,5,5,50,24,4,36.0,36.0,1,0.20488
binary,5,5,50,24,5,29.0,28.0,1,0.028115
binary,5,5,50,24,6,17.0,18.0,1,0.348496
binary,5,5,50,24,7,12.0,15.0,1,0.302174
binary,5,5,50,24,8,18.0,13.0,1,0.032974
binary,5,5,50,24,9,19.0,18.0,1,0.047796
binary,5,5,50,24,10,22.0,22.0,1,0.268558
binary,5,5,50,24,11,0.0,12.0,1,0.063031
binary,5,5,50,24,12,0.0,0.0,1,0.069133
binary,5,5,50,24,13,19.0,20.0,1,0.381831
binary,5,5,50,24,14,31.0,32.0,1,0.07246
binary,5,5,50,24,15,44.0,43.0,1,0.153416
binary,5,5,50,24,16,21.0,22.0,1,0.356251
binary,5,5,50,24,17,14.0,15.0,1,0.133973
binary,5,5,50,24,18,8.0,15.0,1,0.092801
binary,5,5,50,24,19,11.0,10.0,1,0.151247
binary,5,5,50,24,20,12.0,10.0,1,0.011947
binary,5,5,50,24,21,17.0,22.0,1,0.274311
binary,5,5,50,24,22,22.0,29.0,1,0.154246
binary,5,5,50,24,23,23.0,14.0,1,0.117841
binary,5,5,50,24,24,19.0,17.0,1,0.06856
binary,5,5,50,24,25,31.0,35.0,1,0.227953
binary,5,5,50,24,26,25.0,27.0,1,0.313813
binary,5,5,50,24,27,17.0,17.0,1,0.059654
binary,5,5,50,24,28,0.0,14.0,1,0.210514
binary,5,5,50,24,29,27.0,18.0,1,0.085678
binary,5,5,50,24,30,26.0,25.0,1,0.36417
binary,5,5,50,24,31,12.0,12.0,1,0.106152
binary,5,5,50,24,32,31.0,30.0,1,0.353036
binary,5,5,50,24,33,21.0,20.0,1,0.071259
binary,5,5,50,24,34,25.0,27.0,1,0.018786
binary,5,5,50,24,35,16.0,16.0,1,0.210219
binary,5,5,50,24,36,25.0,28.0,1,0.217333
binary,5,5,50,24,37,12.0,12.0,1,0.084666
binary,5,5,50,24,38,15.0,14.0,1,0.066367
binary,5,5,50,24,39,35.0,35.0,1,0.232094
binary,5,5,50,24,40,21.0,19.0,1,0.192379
binary,5,5,50,24,41,36.0,38.0,1,0.271233
binary,5,5,50,24,42,13.0,20.0,1,0.132754
binary,5,5,50,24,43,30.0,29.0,1,0.007652
binary,5,5,50,24,44,13.0,23.0,1,0.030078
binary,5,5,50,24,45,20.0,24.0,1,0.398593
binary,5,5,50,24,46,24.0,23.0,1,0.198702
binary,5,5,50,24,47,17.0,17.0,1,0.107081
binary,5,5,50,24,48,16.0,14.0,1,0.191603
binary,5,5,50,24,49,21.0,26.0,1,0.174671
binary,5,5,50,24,50,27.0,27.0,1,0.167776
binary,5,5,50,24,51,24.0,27.0,1,0.196078
binary,5,5,50,24,52,6.0,16.0,1,0.110902
binary,5,5,50,24,53,25.0,22.0,1,0.292917
binary,5,5,50,24,54,6.0,0.0,1,0.283562
binary,5,5,50,24,55,26.0,25.0,1,0.730042
binary,5,5,50,24,56,23.0,20.0,1,0.185453
binary,5,5,50,24,57,30.0,35.0,1,0.120134
binary,5,5,50,24,58,14.0,6.0,1,0.015091
binary,5,5,50,24,59,11.0,11.0,1,0.51762
binary,5,5,50,24,60,0.0,0.0,1,0.156804
binary,5,5,50,24,61,23.0,25.0,1,0.112663
binary,5,5,50,24,62,29.0,21.0,1,0.02401
binary,5,5,50,24,63,26.0,29.0,1,0.292847
binary,5,5,50,24,64,30.0,30.0,1,0.02708
binary,5,5,50,24,65,25.0,25.0,1,0.239173
binary,5,5,50,24,66,18.0,23.0,1,0.408597
binary,5,5,50,24,67,22.0,25.0,1,0.314964
binary,5,5,50,24,68,0.0,0.0,1,0.125032
binary,5,5,50,24,69,32.0,25.0,1,0.203922
binary,5,5,50,24,70,18.0,27.0,1,0.218529
binary,5,5,50,24,71,26.0,16.0,1,0.262707
binary,5,5,50,24,72,36.0,36.0,1,0.238134
binary,5,5,50,24,73,21.0,20.0,1,0.022794
binary,5,5,50,24,74,30.0,30.0,1,0.258478
binary,5,5,50,24,75,31.0,26.0,1,0.055115
binary,5,5,50,24,76,8.0,7.0,1,0.174123
binary,5,5,50,24,77,29.0,29.0,1,0.36965
binary,5,5,50,24,78,24.0,25.0,1,0.023531
binary,5,5,50,24,79,24.0,25.0,1,0.101463
binary,5,5,50,24,80,19.0,18.0,1,0.355608
binary,5,5,50,24,81,28.0,29.0,1,0.272435
binary,5,5,50,24,82,15.0,21.0,1,0.163199
binary,5,5,50,24,83,9.0,9.0,1,0.447733
binary,5,5,50,24,84,29.0,29.0,1,0.092592
binary,5,5,50,24,85,37.0,37.0,1,0.276707
binary,5,5,50,24,86,39.0,40.0,1,0.164619
binary,5,5,50,24,87,14.0,13.0,1,0.109424
binary,5,5,50,24,88,14.0,8.0,1,0.144567
binary,5,5,50,24,89,8.0,8.0,1,0.288008
binary,5,5,50,24,90,36.0,37.0,1,0.339309
binary,5,5,50,24,91,28.0,29.0,1,0.308774
binary,5,5,50,24,92,14.0,17.0,1,0.136909
binary,5,5,50,24,93,6.0,0.0,1,0.060349
binary,5,5,50,24,94,29.0,38.0,1,0.085545
binary,5,5,50,24,95,12.0,11.0,0,0.0
binary,5,5,50,24,96,18.0,15.0,1,0.000523
binary,5,5,50,24,97,22.0,26.0,1,0.138311
binary,5,5,50,24,98,20.0,17.0,1,0.103203
binary,5,5,50,24,99,32.0,31.0,1,0.293804
binary,5,5,50,24,100,27.0,26.0,1,0.156497
binary,5,5,50,24,101,29.0,32.0,1,0.354184
binary,5,5,50,24,102,9.0,11.0,1,0.412422
binary,5,5,50,24,103,28.0,21.0,1,0.084427
binary,5,5,50,24,104,18.0,21.0,1,0.138512
binary,5,5,50,24,105,11.0,19.0,1,0.279446
binary,5,5,50,24,106,19.0,21.0,1,0.192187
binary,5,5,50,24,107,23.0,25.0,1,0.113154
binary,5,5,50,24,108,24.0,24.0,1,0.325246
binary,5,5,50,24,109,28.0,28.0,0,0.0
binary,5,5,50,24,110,14.0,13.0,1,0.060044
binary,5,5,50,24,111,26.0,25.0,1,0.325618
binary,5,5,50,24,112,32.0,32.0,1,0.21801
binary,5,5,50,24,113,25.0,28.0,1,0.047683
binary,5,5,50,24,114,38.0,30.0,0,0.0
binary,5,5,50,24,115,19.0,12.0,1,0.198708
binary,5,5,50,24,116,21.0,21.0,1,0.132147
binary,5,5,50,24,117,24.0,25.0,1,0.177842
binary,5,5,50,24,118,20.0,18.0,1,0.088741
binary,5,5,50,24,119,7.0,15.0,1,0.134351
binary,5,5,50,24,120,20.0,19.0,1,0.161677
binary,5,5,50,24,121,11.0,9.0,1,0.16852
binary,5,5,50,24,122,22.0,22.0,1,0.410094
binary,5,5,50,24,123,12.0,23.0,1,0.237217
binary,5,5,50,24,124,29.0,29.0,1,0.330261
binary,5,5,50,24,125,0.0,6.0,1,0.12053
binary,5,5,50,24,126,19.0,25.0,1,0.175519
binary,5,5,50,24,127,12.0,11.0,1,0.136428
binary,5,5,50,24,128,18.0,16.0,1,0.206683
binary,5,5,50,24,129,13.0,14.0,1,0.242568
binary,5,5,50,24,130,18.0,20.0,1,0.537312
binary,5,5,50,24,131,29.0,27.0,1,0.043811
binary,5,5,50,24,132,25.0,25.0,1,0.436331
