agents,clearanceStatus,solveConicGibbsGreedyDynamic,PPO_4Bucket_50000000,PPO_4Bucket_20000000,PPO_5Bucket_50000000,PPO_5Bucket_20000000,solveMILP
"[(0, 3, 0.7635801871512494), (1, 1, 0.8592112349844713), (2, 2, 0.4523107280337306), (3, 2, 0.28726225468367184), (4, 1, 0.8809305402905219), (5, 3, 0.849495943453569), (6, 3, 0.12307333746351046), (7, 3, 0.04943250310112013), (8, 2, 0.6844183502172491), (9, 3, 0.43590114428400173), (10, 3, 0.7083167628342784), (11, 3, 0.4423015821110784), (12, 2, 0.7944264590088673), (13, 3, 0.5930623555828572), (14, 2, 0.9092532121049276), (15, 2, 0.663484743831407), (16, 2, 0.21230460238958737), (17, 1, 0.338541517429655), (18, 1, 0.8217516266967229), (19, 2, 0.8364972503689317), (20, 1, 0.29156549642850593), (21, 2, 0.29967210578673853), (22, 3, 0.8700111854872171), (23, 2, 0.5303298387723362), (24, 3, 0.8326651217962792), (25, 3, 0.3167502869207883), (26, 1, 0.5124178059504252), (27, 2, 0.3681931890574759), (28, 1, 0.8535356122766489), (29, 2, 0.9947841118964903), (30, 1, 0.5966319797997521), (31, 3, 0.8292483438168065), (32, 3, 0.9618277436901645), (33, 3, 0.6051042745145283), (34, 3, 0.8314605157264539), (35, 1, 0.3589293601079867), (36, 1, 0.8709526951320143), (37, 2, 0.04120676637587706), (38, 1, 0.5184433074989407), (39, 1, 0.9672691100878653), (40, 3, 0.4414529597411444), (41, 1, 0.5047637960306769), (42, 2, 0.9962498503881388), (43, 1, 0.7339700983033335), (44, 3, 0.4489286017430353), (45, 1, 0.7940568373433295), (46, 1, 0.3994909276344012), (47, 1, 0.5375759610821793), (48, 1, 0.3954745242382013), (49, 3, 0.41915815377804555)]","[1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0]",13,13,13,13,13,13
"[(0, 1, 0.3206142611583903), (1, 1, 0.4698772051172747), (2, 2, 0.8284555098221477), (3, 1, 0.24374303744661663), (4, 1, 0.5148250282497179), (5, 1, 0.6038661010701264), (6, 1, 0.7837304932633614), (7, 1, 0.9461954992313582), (8, 3, 0.7937186424980728), (9, 2, 0.327286795263679), (10, 3, 0.3928172399166019), (11, 3, 0.26229476754838543), (12, 1, 0.5807265160839806), (13, 3, 0.38227111709353), (14, 1, 0.06392194777279836), (15, 2, 0.47918332204723113), (16, 3, 0.3001344255366216), (17, 3, 0.9778242425055365), (18, 2, 0.8741397008826471), (19, 3, 0.7128340931514103), (20, 1, 0.03879192189767233), (21, 3, 0.513283135722611), (22, 1, 0.7744346342973172), (23, 2, 0.4959112742953371), (24, 3, 0.10003504428060217), (25, 2, 0.7209147322527337), (26, 2, 0.031754310459888746), (27, 3, 0.41754671383479847), (28, 1, 0.36396783851365466), (29, 1, 0.26522079947342114), (30, 2, 0.8174032278505291), (31, 2, 0.5295467257951839), (32, 2, 0.9172041062412277), (33, 1, 0.9693050971977124), (34, 1, 0.2536811083946985), (35, 2, 0.3427086394822453), (36, 1, 0.9244485173614541), (37, 3, 0.16239940395587438), (38, 3, 0.4678065169573762), (39, 1, 0.122875403731591), (40, 3, 0.5639455000507126), (41, 3, 0.9942392730584505), (42, 1, 0.10791999402315589), (43, 2, 0.5569912740778018), (44, 3, 0.5368999678976426), (45, 1, 0.0933532263020116), (46, 3, 0.23782458514870108), (47, 2, 0.07437819151306024), (48, 1, 0.16284385998249062), (49, 1, 0.694485382982062)]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1]",11,11,11,11,11,11
"[(0, 3, 0.10009992499191878), (1, 1, 0.8307018067624934), (2, 1, 0.010093372123901379), (3, 3, 0.14135511968991166), (4, 1, 0.5465688287816557), (5, 3, 0.26760902708778234), (6, 3, 0.04483800934571702), (7, 1, 0.6782781962722964), (8, 1, 0.4517149164594023), (9, 1, 0.3464150447327068), (10, 3, 0.13890139508442845), (11, 1, 0.12231524137610805), (12, 1, 0.26345295808084035), (13, 1, 0.7787447210590625), (14, 1, 0.8023623331373232), (15, 2, 0.6948681866044267), (16, 3, 0.9060168910879597), (17, 2, 0.12962807308737068), (18, 2, 0.5275114885415485), (19, 3, 0.6755050116872542), (20, 3, 0.10526348159390464), (21, 2, 0.8783763876687629), (22, 2, 0.7847747884205107), (23, 3, 0.2536670819322767), (24, 1, 0.08091088945204583), (25, 1, 0.964605984356711), (26, 1, 0.035917419838492615), (27, 1, 0.7081764039624961), (28, 1, 0.9740349998448333), (29, 1, 0.6051023637826689), (30, 3, 0.11868132914727425), (31, 1, 0.38694475537820106), (32, 1, 0.5929833188343766), (33, 2, 0.8721990861508083), (34, 1, 0.2100598163783749), (35, 1, 0.7549356752355733), (36, 2, 0.5697446530380587), (37, 3, 0.09214657759264122), (38, 3, 0.4560978414674127), (39, 2, 0.09331015575479629), (40, 2, 0.42393764440619985), (41, 1, 0.4654742567393375), (42, 3, 0.46008865849419867), (43, 1, 0.5215608938048995), (44, 2, 0.549402922081666), (45, 2, 0.2789657894958618), (46, 3, 0.9439799379528624), (47, 1, 0.9412454550227265), (48, 3, 0.835379047510276), (49, 3, 0.49959565660164296)]","[0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1]",0,0,0,0,0,0
"[(0, 2, 0.005246538750729335), (1, 3, 0.023491457385495962), (2, 2, 0.7844631393840822), (3, 3, 0.6375484501434133), (4, 1, 0.11897613924809836), (5, 1, 0.9891886464966136), (6, 2, 0.6175189069065163), (7, 3, 0.24256002122592857), (8, 1, 0.434581899623961), (9, 1, 0.5797953817591811), (10, 3, 0.2872183366386878), (11, 2, 0.9996841910715392), (12, 3, 0.2164421794861039), (13, 2, 0.19916374759700262), (14, 1, 0.4351710464874027), (15, 2, 0.48394694339411437), (16, 3, 0.13728719522865784), (17, 2, 0.004833960568068951), (18, 3, 0.505680114574086), (19, 3, 0.5807218989609461), (20, 2, 0.5787727452421382), (21, 1, 0.7391988016859329), (22, 1, 0.17966328841391666), (23, 3, 0.9735854151163239), (24, 1, 0.9615219263204655), (25, 2, 0.2044234159162529), (26, 3, 0.312447833151683), (27, 1, 0.9517964246370546), (28, 1, 0.19201229335210812), (29, 3, 0.6450858510501112), (30, 3, 0.697112108186522), (31, 1, 0.18775804912376337), (32, 1, 0.0288563384580236), (33, 3, 0.6617230338115412), (34, 2, 0.7838373171920144), (35, 3, 0.43877163485454207), (36, 1, 0.7321131822690955), (37, 1, 0.17591908134542), (38, 3, 0.7826203989995225), (39, 1, 0.053811973127928514), (40, 1, 0.8066993063639586), (41, 2, 0.38505399907627946), (42, 2, 0.007420189733433502), (43, 3, 0.20423762100379472), (44, 1, 0.4364999349502119), (45, 3, 0.920286618795316), (46, 1, 0.8092167902936701), (47, 1, 0.16733472783786152), (48, 2, 0.7724069204471262), (49, 1, 0.33365730992178866)]","[0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0]",10,10,10,10,10,10
"[(0, 1, 0.43209704650779934), (1, 2, 0.9606394512139504), (2, 3, 0.3456544522161056), (3, 3, 0.18442164577551745), (4, 1, 0.8891424902416998), (5, 3, 0.32316142063884656), (6, 3, 0.8761531823840312), (7, 2, 0.5900733836448289), (8, 1, 0.4019420319245638), (9, 1, 0.6104945589808121), (10, 1, 0.6651139287861689), (11, 2, 0.9411027028406752), (12, 2, 0.7798477611642817), (13, 2, 0.17707746000194557), (14, 2, 0.8178468666441288), (15, 3, 0.21450203474985308), (16, 3, 0.9568949038538642), (17, 2, 0.8471489888355699), (18, 2, 0.7471654754178977), (19, 2, 0.29766851286571583), (20, 2, 0.45147011221599387), (21, 1, 0.10363344842764755), (22, 2, 0.5710262538212372), (23, 2, 0.6944999575996244), (24, 3, 0.24973654087087482), (25, 1, 0.49032758769341145), (26, 1, 0.10834865220291834), (27, 1, 0.42886089405361405), (28, 2, 0.46468582492154975), (29, 3, 0.5151678482434086), (30, 1, 0.06369008491732397), (31, 1, 0.05517983871470944), (32, 2, 0.31486748997183445), (33, 2, 0.5857260262685027), (34, 1, 0.7373930862771058), (35, 1, 0.6045574435791666), (36, 1, 0.4475309545071149), (37, 1, 0.47782007424745954), (38, 1, 0.7435634362219858), (39, 2, 0.9685888881722555), (40, 2, 0.857992592601027), (41, 3, 0.7312010100710309), (42, 3, 0.5389041704516846), (43, 2, 0.5323497637603553), (44, 1, 0.6259433253524571), (45, 2, 0.5792997507655488), (46, 3, 0.8811943426687698), (47, 3, 0.10058151613278976), (48, 3, 0.9416386806383106), (49, 3, 0.136895846528011)]","[1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0]",0,0,0,0,0,0
"[(0, 2, 0.5247715030100137), (1, 1, 0.408074564635729), (2, 3, 0.87233002949207), (3, 2, 0.6667650835737844), (4, 3, 0.18972991062528122), (5, 1, 0.35437558987333084), (6, 2, 0.7858733901285078), (7, 2, 0.0526654118331239), (8, 1, 0.16461360074825515), (9, 1, 0.4554685758656105), (10, 1, 0.0642018664949705), (11, 2, 0.46748071657617885), (12, 2, 0.3370571277296771), (13, 2, 0.14204516930821642), (14, 1, 0.7678041572361978), (15, 3, 0.33270957063179984), (16, 1, 0.27475987598516494), (17, 1, 0.6058508432620722), (18, 3, 0.5776302932685452), (19, 1, 0.23059704376562862), (20, 1, 0.9908608707426944), (21, 2, 0.9529959865781298), (22, 1, 0.1463936208661708), (23, 2, 0.10647202254637556), (24, 2, 0.6918418253753837), (25, 2, 0.1291680620782022), (26, 1, 0.19589844913338172), (27, 1, 0.4339948725901204), (28, 3, 0.6502630206149844), (29, 3, 0.6203200565232757), (30, 1, 0.8425410501081078), (31, 2, 0.8010435760336073), (32, 2, 0.5481168681519203), (33, 1, 0.9794131068063412), (34, 1, 0.1755704807067242), (35, 2, 0.6363908306475043), (36, 3, 0.6750110326605581), (37, 2, 0.6488534026039068), (38, 3, 0.6711709005478753), (39, 2, 0.8065864763935359), (40, 3, 0.2450546490453257), (41, 1, 0.327427233764761), (42, 3, 0.02814682055576201), (43, 2, 0.3071994465326191), (44, 2, 0.5396148559496253), (45, 2, 0.5587102264777978), (46, 3, 0.6977289143498524), (47, 2, 0.3283559965804044), (48, 2, 0.7189184250909968), (49, 2, 0.981548539629758)]","[0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1]",9,9,9,9,9,9
"[(0, 2, 0.7355568302176066), (1, 1, 0.20382112746805392), (2, 3, 0.21237292018988108), (3, 1, 0.06528150138535183), (4, 3, 0.05330762647488141), (5, 1, 0.005991900684234164), (6, 3, 0.2982269590863317), (7, 1, 0.015283953197886224), (8, 1, 0.7053336628000078), (9, 2, 0.4038398976663704), (10, 3, 0.8243588221449318), (11, 1, 0.08257611044897395), (12, 2, 0.04758279225123463), (13, 3, 0.5270915474353219), (14, 1, 0.19838530686954003), (15, 3, 0.2880693176152088), (16, 1, 0.8872430655806589), (17, 2, 0.43148378186162284), (18, 2, 0.18082296690671196), (19, 2, 0.434879878376332), (20, 3, 0.8911297996382713), (21, 1, 0.22786779194339146), (22, 2, 0.6003073163927299), (23, 1, 0.7138534298737502), (24, 2, 0.1660466037180034), (25, 3, 0.34897816744850507), (26, 1, 0.5307846573541365), (27, 3, 0.8499768595506453), (28, 1, 0.5653901953599899), (29, 1, 0.7239940370688028), (30, 1, 0.28000666575571587), (31, 2, 0.729531184828085), (32, 2, 0.906545700074212), (33, 3, 0.07151975171572966), (34, 2, 0.8582140875287375), (35, 3, 0.3606308101175242), (36, 3, 0.1955895942552286), (37, 2, 0.5635516992309262), (38, 3, 0.40569337281742557), (39, 1, 0.620002388907679), (40, 3, 0.968905438861821), (41, 2, 0.20839001138435498), (42, 2, 0.005541996565919027), (43, 2, 0.8388646101856043), (44, 2, 0.5194619601384571), (45, 2, 0.8268839087466586), (46, 3, 0.4910261606836507), (47, 1, 0.402129498700584), (48, 1, 0.43678859474032194), (49, 2, 0.32653156692784246)]","[1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0]",14,14,14,14,14,14
"[(0, 3, 0.6090262711502928), (1, 1, 0.3648308731001779), (2, 3, 0.7271161269920126), (3, 1, 0.21815202092763897), (4, 2, 0.1908208986306288), (5, 1, 0.7360826217724433), (6, 1, 0.6787453073505355), (7, 1, 0.6146288149585026), (8, 1, 0.2303125272517016), (9, 3, 0.7615183320901554), (10, 3, 0.607402673553225), (11, 3, 0.09942668688166256), (12, 3, 0.08551181613293202), (13, 1, 0.08587175096804978), (14, 2, 0.7116553145381371), (15, 1, 0.22785146203348527), (16, 2, 0.1029346676671522), (17, 3, 0.08241373392945262), (18, 3, 0.43307772232922837), (19, 2, 0.556228640102396), (20, 2, 0.7398603992051094), (21, 2, 0.2401628034376535), (22, 2, 0.7271798249938617), (23, 3, 0.7562597903281805), (24, 1, 0.5872952440356967), (25, 3, 0.011355749307540908), (26, 1, 0.06541929931727397), (27, 3, 0.7335518460279066), (28, 3, 0.47153049255884716), (29, 1, 0.07639306165474191), (30, 3, 0.8686134823118331), (31, 3, 0.06229933087999273), (32, 1, 0.6125470184182118), (33, 2, 0.3988927253843164), (34, 1, 0.803184501532063), (35, 1, 0.6212988609668217), (36, 2, 0.09162340682720038), (37, 1, 0.8618688805876787), (38, 1, 0.21196308274918663), (39, 3, 0.6832186885341147), (40, 2, 0.6966390517162857), (41, 1, 0.5333087123020875), (42, 2, 0.04291846807455113), (43, 3, 0.06686405745868773), (44, 2, 0.38567505432389604), (45, 3, 0.6486359908754896), (46, 3, 0.6580791226465925), (47, 3, 0.5806165819702163), (48, 3, 0.3502249507968027), (49, 1, 0.2259122996206432)]","[0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0]",9,9,9,9,9,9
"[(0, 2, 0.15954537029994942), (1, 1, 0.05167542070135622), (2, 2, 0.6998490577166594), (3, 1, 0.3508905681155291), (4, 3, 0.2050075352972871), (5, 1, 0.8932083725622891), (6, 1, 0.20178015609421174), (7, 1, 0.30924652536866215), (8, 1, 0.3439760672767098), (9, 2, 0.6387942673677257), (10, 3, 0.5222879537138772), (11, 3, 0.9479619554189408), (12, 1, 0.8602044173958691), (13, 1, 0.8172106255196986), (14, 1, 0.5812872929057444), (15, 3, 0.9204402982893359), (16, 3, 0.3334767581479974), (17, 1, 0.5576014756527503), (18, 1, 0.567722901686045), (19, 2, 0.08639843258898572), (20, 1, 0.5639082309290698), (21, 3, 0.2968089671915425), (22, 1, 0.8032881169167252), (23, 2, 0.3503810142006917), (24, 3, 0.19149584783649543), (25, 2, 0.8982377824704769), (26, 2, 0.11657623890961821), (27, 1, 0.47476675459209217), (28, 3, 0.6054835589279195), (29, 1, 0.8362148437501495), (30, 2, 0.8847226945191052), (31, 3, 0.031920347961046924), (32, 2, 0.7488514362754147), (33, 1, 0.8827950399011864), (34, 2, 0.9318792075149019), (35, 1, 0.9849171459302642), (36, 3, 0.9375085677057342), (37, 1, 0.08852386191100026), (38, 2, 0.8275423989033701), (39, 2, 0.7284051667695582), (40, 2, 0.1938189570555675), (41, 3, 0.1703555678884926), (42, 2, 0.4421711811241533), (43, 1, 0.19332397064666895), (44, 2, 0.22207114841610776), (45, 3, 0.20932636922980807), (46, 2, 0.36762857539457583), (47, 3, 0.22537281472422743), (48, 2, 0.003129969494558904), (49, 2, 0.6440868238158826)]","[0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1]",12,12,12,12,12,12
"[(0, 1, 0.9535338316946449), (1, 1, 0.7650530925626264), (2, 1, 0.3233858188047334), (3, 1, 0.5261494405568102), (4, 1, 0.009939773417525721), (5, 2, 0.4625010820649008), (6, 3, 0.6646436521999397), (7, 1, 0.04614082215784243), (8, 2, 0.38457709137472706), (9, 3, 0.10142843502375343), (10, 1, 0.33825098704792733), (11, 1, 0.8512778088337258), (12, 3, 0.9237223205499175), (13, 2, 0.04649269130617928), (14, 2, 0.8824026370621755), (15, 1, 0.8948002055238166), (16, 3, 0.7536313105856141), (17, 1, 0.6856311383927975), (18, 3, 0.7010659560705814), (19, 2, 0.4717616741592082), (20, 2, 0.575953901143208), (21, 3, 0.021086927567071534), (22, 3, 0.3800963318832843), (23, 1, 0.6151510726097413), (24, 3, 0.9390977797909398), (25, 3, 0.7540307696669883), (26, 2, 0.6567919848580271), (27, 1, 0.5164553515051986), (28, 2, 0.06672370294405017), (29, 2, 0.7595493802126816), (30, 3, 0.4289095262967372), (31, 1, 0.008445168501386435), (32, 1, 0.988029953061213), (33, 1, 0.6695034341401067), (34, 2, 0.693210955901613), (35, 3, 0.16702147337862439), (36, 3, 0.857942645036181), (37, 1, 0.3942718710534844), (38, 3, 0.5509555396845783), (39, 3, 0.1341195323155424), (40, 3, 0.8151852698960125), (41, 2, 0.8793220329596447), (42, 2, 0.6439471759343788), (43, 3, 0.5256262632326766), (44, 3, 0.09874249846459449), (45, 1, 0.8157072774515404), (46, 1, 0.7323984519098639), (47, 3, 0.8999888140052577), (48, 3, 0.7427054594540852), (49, 2, 0.6918269331896376)]","[1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1]",0,0,0,0,0,0
