agents,healthStatus,solveConicGibbsGreedyDynamic,PPO_4Bucket_50000000,PPO_4Bucket_20000000,PPO_5Bucket_50000000,PPO_5Bucket_20000000,solveMILP
"[(0, 1, 0.8059715344088721), (1, 2, 0.5052191673687991), (2, 1, 0.5433517544392988), (3, 3, 0.6749806460796441), (4, 2, 0.3862829628721369), (5, 3, 0.579922358747033), (6, 1, 0.37303332912219744), (7, 3, 0.3158749390884711), (8, 2, 0.4387169221293711), (9, 3, 0.537645358804997), (10, 1, 0.4752705880722806), (11, 1, 0.1903135852702008), (12, 2, 0.4686474620466846), (13, 2, 0.26649685607883244), (14, 3, 0.03821287566419618), (15, 2, 0.40419047709898726), (16, 1, 0.3319680481594225), (17, 1, 0.8695867598133598), (18, 3, 0.6942304686673372), (19, 3, 0.17089509209787102), (20, 1, 0.908838725837514), (21, 1, 0.10149766198391563), (22, 1, 0.8922545344803164), (23, 1, 0.01519959993142117), (24, 1, 0.21565327283094482), (25, 1, 0.975372865087475), (26, 3, 0.053893195022942875), (27, 2, 0.7440045751694082), (28, 2, 0.976203666772365), (29, 2, 0.5157549052092765), (30, 2, 0.19590543155092033), (31, 2, 0.8811242631683588), (32, 1, 0.4052165466785712), (33, 3, 0.14723993209772113), (34, 3, 0.09649167357395183), (35, 1, 0.6823986555381509), (36, 2, 0.19209724998962086), (37, 1, 0.37470777738876315), (38, 1, 0.3270304749394739), (39, 3, 0.7977375562892096), (40, 2, 0.6532804878584048), (41, 1, 0.9430815100250376), (42, 1, 0.6230831202132597), (43, 2, 0.6303115035032333), (44, 1, 0.8493532063367466), (45, 1, 0.6727765840961174), (46, 1, 0.365103954625275), (47, 1, 0.25705544234175304), (48, 2, 0.5184945140586271), (49, 1, 0.8927033290294809)]","[1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1]",9,13,13,14,8,9
"[(0, 2, 0.6651247696776448), (1, 1, 0.8873625976565593), (2, 1, 0.013089473922334283), (3, 1, 0.38048046847052874), (4, 3, 0.6665256270301063), (5, 2, 0.7178432242837286), (6, 1, 0.5153369813490858), (7, 3, 0.679464883933568), (8, 1, 0.8662910377635323), (9, 2, 0.045746727877344684), (10, 2, 0.283112005573282), (11, 1, 0.06588894215668617), (12, 2, 0.0598769199581306), (13, 3, 0.9487514683406272), (14, 1, 0.911885969685384), (15, 3, 0.25794856876635186), (16, 3, 0.08190766323740817), (17, 3, 0.10810276545168596), (18, 2, 0.28347060906520094), (19, 2, 0.38102877808254554), (20, 1, 0.042134951256253106), (21, 1, 0.766476154999622), (22, 1, 0.8566795178476548), (23, 1, 0.40354198037062605), (24, 2, 0.6875189889987883), (25, 3, 0.08288111375977536), (26, 2, 0.09727247617350632), (27, 1, 0.3541755861537442), (28, 2, 0.5292947448304656), (29, 1, 0.27192526925655514), (30, 1, 0.27880557630573555), (31, 2, 0.3276297783692462), (32, 1, 0.956624640161069), (33, 2, 0.2124974001886084), (34, 3, 0.282026561706348), (35, 1, 0.6513102134506623), (36, 1, 0.5151094673046989), (37, 2, 0.3833132808126669), (38, 2, 0.7676296478585818), (39, 3, 0.39493692871067354), (40, 2, 0.6922171645553605), (41, 1, 0.5025009037528011), (42, 1, 0.8283221515099175), (43, 3, 0.2722512478765885), (44, 2, 0.24924382025817216), (45, 3, 0.12378447797815595), (46, 1, 0.8153032413717752), (47, 3, 0.7229853352472326), (48, 2, 0.1863575252402193), (49, 1, 0.8826565922872808)]","[0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",0,8,15,0,8,0
"[(0, 1, 0.011767802446549513), (1, 1, 0.13949731016036848), (2, 2, 0.7124388566251185), (3, 3, 0.10209089214534961), (4, 1, 0.21903097058457388), (5, 1, 0.6414728731408778), (6, 2, 0.5551694941468334), (7, 3, 0.5373130377445055), (8, 2, 0.24141497493835706), (9, 1, 0.013442136764195589), (10, 3, 0.5038594507715701), (11, 3, 0.5952225877871129), (12, 2, 0.98034009899997), (13, 3, 0.978525075351712), (14, 1, 0.5694860245730279), (15, 2, 0.7781855944300737), (16, 1, 0.02306662949371563), (17, 1, 0.533745171416345), (18, 3, 0.4638360383399168), (19, 3, 0.7144135057147016), (20, 3, 0.7006210495906949), (21, 1, 0.42821885985059405), (22, 3, 0.24828760419647555), (23, 2, 0.11374477830578433), (24, 2, 0.043715744787445665), (25, 1, 0.8649228906342189), (26, 3, 0.7117722020967199), (27, 1, 0.7767189872445973), (28, 1, 0.9974211490169641), (29, 2, 0.46890274116693975), (30, 1, 0.9804859410539665), (31, 2, 0.7008791636727227), (32, 2, 0.26594944107528173), (33, 1, 0.07473135639621831), (34, 1, 0.9425142779796603), (35, 1, 0.49736433554095627), (36, 1, 0.9121403437398353), (37, 3, 0.265467761238544), (38, 1, 0.027578869935979466), (39, 2, 0.587609170044905), (40, 3, 0.6763955624149811), (41, 3, 0.09748670006407589), (42, 3, 0.9501391793849354), (43, 2, 0.6345848546647538), (44, 1, 0.45490533476337314), (45, 1, 0.13315337507338743), (46, 2, 0.9017084821301292), (47, 1, 0.5756655386374084), (48, 3, 0.4596467725552821), (49, 1, 0.9051310002159072)]","[0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1]",0,13,13,16,12,0
"[(0, 3, 0.11172657356193871), (1, 3, 0.9001633109772631), (2, 1, 0.15178666365214522), (3, 1, 0.1386388059577469), (4, 1, 0.37766599156206326), (5, 1, 0.20991221947141359), (6, 2, 0.5474351082996186), (7, 1, 0.683749597860115), (8, 1, 0.3627572933707103), (9, 1, 0.20302847416951186), (10, 1, 0.591658956239758), (11, 1, 0.5480124422546774), (12, 2, 0.04669069492186728), (13, 3, 0.628477668655915), (14, 2, 0.5634006656333869), (15, 3, 0.9809924997579906), (16, 2, 0.0880010571598061), (17, 3, 0.10119233128076233), (18, 1, 0.6882462852965834), (19, 1, 0.5445852143577301), (20, 3, 0.24144731463923663), (21, 3, 0.6720145294703904), (22, 3, 0.10356301913445631), (23, 1, 0.8008591727918494), (24, 2, 0.5847795094541505), (25, 1, 0.19569384565205739), (26, 3, 0.6525347796414916), (27, 1, 0.8131851025916862), (28, 2, 0.7342353784122088), (29, 1, 0.13636966291638242), (30, 3, 0.7495206744357007), (31, 1, 0.5172238692220533), (32, 2, 0.9860507768598438), (33, 1, 0.947228220962923), (34, 2, 0.8790273868417074), (35, 1, 0.7754073323126514), (36, 2, 0.8954471532032434), (37, 2, 0.2458329518256538), (38, 2, 0.25939245240289366), (39, 1, 0.06320695790574848), (40, 2, 0.8401833611521342), (41, 2, 0.2287472029054337), (42, 1, 0.3802536598435371), (43, 3, 0.9093166009678791), (44, 2, 0.7262520334362907), (45, 3, 0.24731853695845096), (46, 2, 0.7032764117180936), (47, 1, 0.8256186313076702), (48, 2, 0.33365882466947316), (49, 3, 0.25533701001940534)]","[0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1]",21,10,18,11,9,21
"[(0, 3, 0.13498098213412202), (1, 2, 0.4084383456698609), (2, 3, 0.940814060610902), (3, 1, 0.01172318849369336), (4, 2, 0.3187627429056712), (5, 1, 0.7361907231646051), (6, 1, 0.009938024483047703), (7, 3, 0.132455828939105), (8, 3, 0.7609223830031183), (9, 1, 0.5821436182138854), (10, 2, 0.1911107557424614), (11, 3, 0.7064009510372413), (12, 2, 0.7653738865153863), (13, 3, 0.7758553949646663), (14, 3, 0.0690209610146647), (15, 3, 0.16734913037851673), (16, 1, 0.26496801180279106), (17, 1, 0.20879601265180392), (18, 1, 0.004044148984965523), (19, 1, 0.47534388106755987), (20, 2, 0.6439379170920749), (21, 1, 0.37075599895751055), (22, 1, 0.7250331840354488), (23, 1, 0.7024818568823633), (24, 3, 0.14556553926539573), (25, 3, 0.7992902165036078), (26, 1, 0.35456060042914583), (27, 3, 0.41695253270283683), (28, 3, 0.7376277892090339), (29, 2, 0.5436552791098993), (30, 2, 0.8404870538690717), (31, 1, 0.3020292690845928), (32, 3, 0.6944310155966447), (33, 1, 0.230385055418187), (34, 2, 0.5309008222591133), (35, 3, 0.2258851516054884), (36, 2, 0.0944794530895412), (37, 2, 0.579421734730497), (38, 3, 0.39982967720401663), (39, 3, 0.7755226239752497), (40, 1, 0.3635220855122596), (41, 1, 0.7725326175695162), (42, 1, 0.8382387695147844), (43, 1, 0.9359807434753319), (44, 3, 0.4113809763814642), (45, 1, 0.6892183775708346), (46, 3, 0.08450901705913516), (47, 1, 0.8344265278209473), (48, 3, 0.33695747502272755), (49, 1, 0.5913353436441753)]","[0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0]",9,9,0,9,0,11
"[(0, 3, 0.27101346583759334), (1, 3, 0.44507101042546693), (2, 2, 0.8127953713059045), (3, 3, 0.8177176775080951), (4, 3, 0.9873549799900688), (5, 1, 0.37668793390921507), (6, 1, 0.4871672577431361), (7, 2, 0.3513047726304668), (8, 2, 0.2826696818122637), (9, 3, 0.04763583654010428), (10, 1, 0.593778666042104), (11, 1, 0.057307527777707756), (12, 3, 0.0675325378257533), (13, 1, 0.9249651716393458), (14, 2, 0.40280515610023293), (15, 2, 0.6285411973463508), (16, 2, 0.3798127569922227), (17, 2, 0.34681403693151946), (18, 1, 0.8038854157580262), (19, 1, 0.3611860391842473), (20, 1, 0.12334787493585209), (21, 3, 0.10003015526787484), (22, 3, 0.4953351710521563), (23, 2, 0.3348004470722933), (24, 2, 0.35194800280295957), (25, 2, 0.8684569101011369), (26, 2, 0.2986651127012563), (27, 1, 0.9853701619064553), (28, 2, 0.42908508225591413), (29, 2, 0.23999032658405162), (30, 3, 0.8089985826482856), (31, 2, 0.5161087864915607), (32, 2, 0.06619359608485131), (33, 3, 0.8440879562153225), (34, 2, 0.7015712298270316), (35, 3, 0.2682316509000916), (36, 2, 0.9193713361071807), (37, 2, 0.2180123926137537), (38, 2, 0.44774354270730954), (39, 2, 0.9758253377947227), (40, 1, 0.1648764861240941), (41, 3, 0.5905484783572397), (42, 1, 0.13524607194284988), (43, 3, 0.04111471693172797), (44, 1, 0.44480686202988373), (45, 1, 0.018205423310327373), (46, 3, 0.1496540855516436), (47, 2, 0.19871967138474644), (48, 1, 0.9533413289300833), (49, 3, 0.49324729890733887)]","[0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0]",21,11,0,7,20,21
"[(0, 3, 0.02949488887602092), (1, 3, 0.6562241481633696), (2, 3, 0.39791206177168037), (3, 1, 0.4214153475023624), (4, 1, 0.8479491963389352), (5, 3, 0.30658423636964427), (6, 3, 0.9309940993306898), (7, 3, 0.34616995503495507), (8, 2, 0.2536468278489403), (9, 1, 0.7768866090274745), (10, 2, 0.5064578514680027), (11, 3, 0.2973004653462725), (12, 1, 0.06567193052550901), (13, 3, 0.6658790574166221), (14, 3, 0.2989358264855254), (15, 1, 0.9763375454712991), (16, 3, 0.5130780154306068), (17, 1, 0.12181082315385239), (18, 1, 0.2858435074820924), (19, 2, 0.7472782697307695), (20, 1, 0.9620179550482619), (21, 2, 0.7955506430405209), (22, 3, 0.864110152269361), (23, 1, 0.8563424839258494), (24, 3, 0.12035788081916388), (25, 2, 0.5669722139167317), (26, 1, 0.4122044810945833), (27, 2, 0.10323270437608523), (28, 2, 0.6387086585267381), (29, 2, 0.22066075352094217), (30, 3, 0.599979235367865), (31, 3, 0.6126059700039694), (32, 1, 0.14962151245926203), (33, 2, 0.08321490700609202), (34, 1, 0.6075755852500501), (35, 3, 0.7664795732435292), (36, 2, 0.878852594105502), (37, 2, 0.3984064132730871), (38, 1, 0.8250993197215977), (39, 1, 0.5414411509713809), (40, 2, 0.09727207801013826), (41, 2, 0.6732993289894464), (42, 2, 0.8906007839537357), (43, 1, 0.48247290990025293), (44, 1, 0.0796943823535412), (45, 1, 0.8723498528240047), (46, 2, 0.815107224713907), (47, 1, 0.940497135229921), (48, 3, 0.10718781180750148), (49, 1, 0.8579069857323072)]","[0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1]",11,9,14,10,18,0
"[(0, 3, 0.357009620409111), (1, 1, 0.023476212842511446), (2, 2, 0.33539168782941564), (3, 3, 0.603755270425097), (4, 2, 0.6787907562493528), (5, 1, 0.9410658191165698), (6, 1, 0.7058197414631895), (7, 1, 0.5233570002644419), (8, 2, 0.28203543765380734), (9, 1, 0.019072452449694022), (10, 1, 0.7656222419049065), (11, 2, 0.9543807990835271), (12, 1, 0.6878561367914264), (13, 2, 0.424576001575132), (14, 3, 0.9277950850993234), (15, 2, 0.48096745453850465), (16, 1, 0.9879645828389112), (17, 2, 0.5900735186106778), (18, 2, 0.7729100100534496), (19, 2, 0.33291235202395575), (20, 2, 0.3994613019475186), (21, 3, 0.8775072846853187), (22, 3, 0.3163026420364511), (23, 3, 0.2545669871057522), (24, 3, 0.20739654706199906), (25, 1, 0.050463206076050926), (26, 3, 0.4021742629907774), (27, 2, 0.5374984439314029), (28, 1, 0.7231353147654959), (29, 3, 0.8435993759130347), (30, 2, 0.7038908273494933), (31, 3, 0.3098484134184466), (32, 2, 0.15154063259695383), (33, 2, 0.7201727696177063), (34, 1, 0.14473936420986333), (35, 2, 0.9459716352451768), (36, 2, 0.35847127087042163), (37, 1, 0.03732575490478407), (38, 2, 0.0719507807433396), (39, 2, 0.23973465118541737), (40, 1, 0.8252774286128227), (41, 2, 0.8052457249339681), (42, 3, 0.9504485801415548), (43, 2, 0.1030560297551476), (44, 1, 0.29970387738926474), (45, 3, 0.21394947178530466), (46, 1, 0.25815133789696054), (47, 2, 0.7282316822470897), (48, 3, 0.3979967712056176), (49, 1, 0.9129906568174041)]","[1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1]",21,0,19,12,9,21
"[(0, 2, 0.06481880552264818), (1, 1, 0.55878204333157), (2, 1, 0.2737119908810529), (3, 2, 0.9767271794231669), (4, 3, 0.5213258022722226), (5, 1, 0.16087667749062318), (6, 2, 0.6890153485666474), (7, 1, 0.1421216820843456), (8, 1, 0.6248384359883705), (9, 1, 0.18269546932115532), (10, 1, 0.5443895454771662), (11, 3, 0.18933833858972227), (12, 1, 0.7598496362694014), (13, 3, 0.6613516190891189), (14, 2, 0.10642370375221544), (15, 1, 0.45120457023311333), (16, 2, 0.12058373880455975), (17, 2, 0.4640682872518054), (18, 1, 0.9862177126418727), (19, 2, 0.001406560557769887), (20, 1, 0.5824953467323651), (21, 2, 0.4673132678046059), (22, 1, 0.1880695698300502), (23, 3, 0.9456731839441846), (24, 2, 0.8641133345905857), (25, 3, 0.1987024140813628), (26, 1, 0.07230102936410265), (27, 1, 0.5884962451920707), (28, 3, 0.1598398437525278), (29, 1, 0.8447928583561753), (30, 3, 0.36397633309671173), (31, 2, 0.8821856398896218), (32, 1, 0.1976935577486627), (33, 2, 0.216458485451969), (34, 2, 0.141071667831992), (35, 3, 0.32462929768271187), (36, 3, 0.060577808746898), (37, 1, 0.9295365104534452), (38, 3, 0.570455466625673), (39, 3, 0.02229346646064756), (40, 2, 0.12401121443226781), (41, 1, 0.9026471287056397), (42, 3, 0.8940085809196928), (43, 3, 0.042363223137249384), (44, 2, 0.5331463181530506), (45, 2, 0.6201095841476383), (46, 1, 0.46901656472472586), (47, 1, 0.6433066601428433), (48, 3, 0.007608863350730188), (49, 1, 0.7652038674292488)]","[0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0, 1]",11,8,9,17,16,11
"[(0, 2, 0.4985049954754649), (1, 2, 0.8120380261283061), (2, 1, 0.5689446810209401), (3, 1, 0.885168186876561), (4, 2, 0.948634613768351), (5, 2, 0.6149666189645999), (6, 1, 0.7262982847864594), (7, 2, 0.8460822091496558), (8, 3, 0.9011012066714237), (9, 3, 0.691452714093296), (10, 3, 0.08904606674161186), (11, 2, 0.03751860364070092), (12, 3, 0.9921525423633565), (13, 1, 0.836345103314072), (14, 1, 0.3339496121477942), (15, 1, 0.792150499438846), (16, 3, 0.38304757466940587), (17, 2, 0.9234167212827652), (18, 2, 0.3291214761814629), (19, 3, 0.8100466432257928), (20, 1, 0.010392031210017416), (21, 2, 0.5125538998452346), (22, 3, 0.8277768932435295), (23, 3, 0.11039257587987128), (24, 3, 0.7448554522511077), (25, 3, 0.005327674432633156), (26, 2, 0.7981837968174862), (27, 3, 0.17237096234550964), (28, 1, 0.5330095653094347), (29, 3, 0.5368882489037418), (30, 2, 0.1829661729907417), (31, 1, 0.186701379213559), (32, 2, 0.1076191913741501), (33, 2, 0.46948009114381084), (34, 1, 0.2682682500268485), (35, 1, 0.04403134286791244), (36, 2, 0.0125193158312632), (37, 3, 0.7762112562399609), (38, 3, 0.6332787155889894), (39, 2, 0.7233713144742032), (40, 3, 0.6525089660359257), (41, 3, 0.8936331768879038), (42, 3, 0.586782322135751), (43, 1, 0.5620771355290025), (44, 2, 0.9922070072126021), (45, 1, 0.6805810680843182), (46, 3, 0.603088416323229), (47, 2, 0.7078653819960109), (48, 1, 0.38202479896442865), (49, 3, 0.5817016921284903)]","[0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0]",13,12,13,21,24,13
