workspace_ref	gap_anchor_max	gap_anchor_med	tight_batt_med	sep_lo_flagship	sep_hi_flagship	n_instances	violations	runtime_seconds	tests_status	status	description
b46e3ea	2.313785	0.579937	0.608579	1.609439	5.333333	11	0	35.594	pass	baseline	baseline: semilla U_PI escalable (Poisson-binomial), bateria n<=7 + familia ancla hasta n=896
b46e3ea	2.151848	0.579937	0.057800	1.609439	5.072706	11	0	47.758	pass	keep	U_cell: relajacion de conteos-por-celda (info-relaxation pura, domina full-reveal-K y OPT) en anclas homogeneas n<=40; gap insignia 2.314->2.152
b40117c	2.086372	0.579937	0.057800	1.609439	4.967326	11	0	45.743	pass	keep	U_cell cola por dilucion de senuelos (m-monotonia, lema citable): g=4 acotado por dp((24,4),6) valido y mas barato que dp((32,4)); gap insignia 2.152->2.086
214a7c6	2.066893	0.579937	0.057800	1.609439	4.935976	11	0	54.567	pass	keep	U_cell cola g=4 m'=24->26 (m-monotonia, misma lema decoy-dilution, techo mas ajustado): gap insignia 2.086->2.067
2a7a1fc	2.056825	0.579937	0.057800	1.609439	4.919773	11	0	60.566	pass	keep	U_cell cola g=4 m'=26->27 (m-monotonia, misma lema): gap insignia 2.067->2.057
e62a721	2.039502	0.579937	0.057800	1.609439	4.891893	11	0	65.020	pass	keep	DP ruta-rapida t==1 (forma cerrada exacta, ~1.36x) libera la puerta; cola g=4 m'27->30 (m-monotonia, dp((30,4),6)=3.4235 vs 3.5124)
7a57c19	2.033745	0.579937	0.057800	1.609439	4.882626	11	0	71.745	pass	keep	DP go con backtracking (2a aceleracion exacta, valor identico) + cola g=4 m'30->31 (m-monotonia, dp((31,4),6)=3.4181)
4b18e2e	2.032726	0.579937	0.057800	1.609439	4.880987	11	0	58.945	pass	keep	g=4 exacto dp((32,4),6)=3.388765 (retira surrogate m-monotonia, lema FALSO); 3a aceleracion DP exacta (cell_outcomes cacheado + go solo celdas activas) baja dp((32,4)) 58->41s y cabe bajo la puerta; gap 2.0337->2.0327
ba94fc7	1.945041	0.579937	0.057800	1.609439	4.739863	11	0	58.864	pass	keep	cola g>=5 por telescopio cruzado-limpio: lema dp((n,g),B)<=dp((n-1,g-1),B)+1 PROBADO por acoplamiento (quita 1 limpia, pi~ la imagina; credito(pi~)>=credito(pi)-1), 540 casos holgura>=0; base g0=3 barata, dp((30,3),6)+2=4.5847>=dp((32,5),6)=4.2903 valido; gap 2.0327->1.9450
a90c0fb	1.904156	0.579937	0.057800	1.609439	4.674061	11	0	68.879	pass	keep	cola g>=5 telescopio base g0=3->4: mismo lema cruzado-limpio dp((n,g),B)<=dp((n-1,g-1),B)+1 iterado g-4 veces => dp((32,g),6)<=dp((36-g,4),6)+(g-4), puntualmente <= g0=3 (una vuelta mas del lema); NO revienta la puerta porque las bases (m,4) comparten el lru_cache con el head dp((32,4),6) (~1.5s warm c/u, insignia ~49s<60s); gap 1.945041->1.904156
