n,B,G,q,score,valor,v_star,v_star_laminar,ratio_vs_optimo
4,1,2,0.15,S0,0.15,0.15000000000000005,0.15000000000000005,0.9999999999999997
4,1,2,0.15,alfa=0,0.15,0.15000000000000005,0.15000000000000005,0.9999999999999997
4,1,2,0.15,alfa=0.5,0.15,0.15000000000000005,0.15000000000000005,0.9999999999999997
4,1,2,0.15,alfa=1,0.15,0.15000000000000005,0.15000000000000005,0.9999999999999997
4,1,2,0.15,alfa=1.5,0.15,0.15000000000000005,0.15000000000000005,0.9999999999999997
4,1,2,0.3,S0,0.3,0.30000000000000004,0.30000000000000004,0.9999999999999998
4,1,2,0.3,alfa=0,0.3,0.30000000000000004,0.30000000000000004,0.9999999999999998
4,1,2,0.3,alfa=0.5,0.3,0.30000000000000004,0.30000000000000004,0.9999999999999998
4,1,2,0.3,alfa=1,0.3,0.30000000000000004,0.30000000000000004,0.9999999999999998
4,1,2,0.3,alfa=1.5,0.3,0.30000000000000004,0.30000000000000004,0.9999999999999998
4,1,2,0.45,S0,0.4500000000000001,0.44999999999999996,0.44999999999999996,1.0000000000000004
4,1,2,0.45,alfa=0,0.4500000000000001,0.44999999999999996,0.44999999999999996,1.0000000000000004
4,1,2,0.45,alfa=0.5,0.4500000000000001,0.44999999999999996,0.44999999999999996,1.0000000000000004
4,1,2,0.45,alfa=1,0.4500000000000001,0.44999999999999996,0.44999999999999996,1.0000000000000004
4,1,2,0.45,alfa=1.5,0.4500000000000001,0.44999999999999996,0.44999999999999996,1.0000000000000004
4,1,2,0.7,S0,0.9799999999999999,0.9799999999999999,0.9799999999999999,1.0
4,1,2,0.7,alfa=0,0.7000000000000001,0.9799999999999999,0.9799999999999999,0.7142857142857144
4,1,2,0.7,alfa=0.5,0.7000000000000001,0.9799999999999999,0.9799999999999999,0.7142857142857144
4,1,2,0.7,alfa=1,0.7000000000000001,0.9799999999999999,0.9799999999999999,0.7142857142857144
4,1,2,0.7,alfa=1.5,0.7000000000000001,0.9799999999999999,0.9799999999999999,0.7142857142857144
4,1,3,0.15,S0,0.15,0.15000000000000005,0.15000000000000005,0.9999999999999997
4,1,3,0.15,alfa=0,0.15,0.15000000000000005,0.15000000000000005,0.9999999999999997
4,1,3,0.15,alfa=0.5,0.15,0.15000000000000005,0.15000000000000005,0.9999999999999997
4,1,3,0.15,alfa=1,0.15,0.15000000000000005,0.15000000000000005,0.9999999999999997
4,1,3,0.15,alfa=1.5,0.15,0.15000000000000005,0.15000000000000005,0.9999999999999997
4,1,3,0.3,S0,0.3,0.30000000000000004,0.30000000000000004,0.9999999999999998
4,1,3,0.3,alfa=0,0.3,0.30000000000000004,0.30000000000000004,0.9999999999999998
4,1,3,0.3,alfa=0.5,0.3,0.30000000000000004,0.30000000000000004,0.9999999999999998
