instance_id,history_id,probability,policy,action,action_size,depth,class,flags,score,immediate,rollout_q,local_regret,final_value
n4_B1_G2_p0.05,raiz,1.0,S0,3,2,0,virgen,,1.805,1.805,1.805,0.0,1.805
n4_B1_G2_p0.05,raiz,1.0,rollout,3,2,0,virgen,,1.805,1.805,1.805,0.0,1.805
n4_B1_G2_p0.05,raiz,1.0,optimo,3,2,0,virgen,,1.805,1.805,1.805,0.0,1.805
n4_B1_G2_p0.45,raiz,1.0,S0,3,2,0,virgen,,0.605,0.605,0.605,0.0,0.605
n4_B1_G2_p0.45,raiz,1.0,rollout,3,2,0,virgen,,0.605,0.605,0.605,0.0,0.605
n4_B1_G2_p0.45,raiz,1.0,optimo,3,2,0,virgen,,0.605,0.605,0.605,0.0,0.605
n4_B1_G2_p0.9,raiz,1.0,S0,1,1,0,virgen,,0.1,0.1,0.1,0.0,0.1
n4_B1_G2_p0.9,raiz,1.0,rollout,1,1,0,virgen,,0.1,0.1,0.1,0.0,0.1
n4_B1_G2_p0.9,raiz,1.0,optimo,1,1,0,virgen,,0.1,0.1,0.1,0.0,0.1
n4_B1_G3_p0.05,raiz,1.0,S0,7,3,0,virgen,,2.572125,2.572125,2.572125,0.0,2.572125
n4_B1_G3_p0.05,raiz,1.0,rollout,7,3,0,virgen,,2.572125,2.572125,2.572125,0.0,2.572125
n4_B1_G3_p0.05,raiz,1.0,optimo,7,3,0,virgen,,2.572125,2.572125,2.572125,0.0,2.572125
n4_B1_G3_p0.45,raiz,1.0,S0,3,2,0,virgen,,0.605,0.605,0.605,0.0,0.605
n4_B1_G3_p0.45,raiz,1.0,rollout,3,2,0,virgen,,0.605,0.605,0.605,0.0,0.605
n4_B1_G3_p0.45,raiz,1.0,optimo,3,2,0,virgen,,0.605,0.605,0.605,0.0,0.605
n4_B1_G3_p0.9,raiz,1.0,S0,1,1,0,virgen,,0.1,0.1,0.1,0.0,0.1
n4_B1_G3_p0.9,raiz,1.0,rollout,1,1,0,virgen,,0.1,0.1,0.1,0.0,0.1
n4_B1_G3_p0.9,raiz,1.0,optimo,1,1,0,virgen,,0.1,0.1,0.1,0.0,0.1
n4_B2_G2_p0.05,raiz,1.0,S0,3,2,0,virgen,,1.805,1.805,3.61,0.0,3.61
n4_B2_G2_p0.05,3:2,0.0025,S0,12,2,1,virgen,,1.805,1.805,1.805,0.0,1.805
n4_B2_G2_p0.05,3:1,0.095,S0,12,2,1,virgen,,1.805,1.805,1.805,0.0,1.805
n4_B2_G2_p0.05,3:0,0.9025,S0,12,2,1,virgen,,1.805,1.805,1.805,0.0,1.805
n4_B2_G2_p0.05,raiz,1.0,rollout,3,2,0,virgen,,1.805,1.805,3.61,0.0,3.61
n4_B2_G2_p0.05,3:2,0.0025,rollout,12,2,1,virgen,,1.805,1.805,1.805,0.0,1.805
n4_B2_G2_p0.05,3:1,0.095,rollout,12,2,1,virgen,,1.805,1.805,1.805,0.0,1.805
n4_B2_G2_p0.05,3:0,0.9025,rollout,12,2,1,virgen,,1.805,1.805,1.805,0.0,1.805
n4_B2_G2_p0.05,raiz,1.0,optimo,3,2,0,virgen,,1.805,1.805,3.61,0.0,3.61
n4_B2_G2_p0.05,3:2,0.0025,optimo,12,2,1,virgen,,1.805,1.805,1.805,0.0,1.805
n4_B2_G2_p0.05,3:1,0.095,optimo,12,2,1,virgen,,1.805,1.805,1.805,0.0,1.805
n4_B2_G2_p0.05,3:0,0.9025,optimo,12,2,1,virgen,,1.805,1.805,1.805,0.0,1.805
