instance_id,n,B,G,prevalence,policy,decisions,w_cruzada,w_virgen,w_descendiente,w_union_de_atomos,w_compatible_mixta,w_dominada,mean_local_regret,mean_action_size
n4_B1_G2_p0.05,4,1,2,0.05,S0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
n4_B1_G2_p0.05,4,1,2,0.05,rollout,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
n4_B1_G2_p0.05,4,1,2,0.05,optimo,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
n4_B1_G2_p0.45,4,1,2,0.45,S0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
n4_B1_G2_p0.45,4,1,2,0.45,rollout,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
n4_B1_G2_p0.45,4,1,2,0.45,optimo,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
n4_B1_G2_p0.9,4,1,2,0.9,S0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
n4_B1_G2_p0.9,4,1,2,0.9,rollout,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
n4_B1_G2_p0.9,4,1,2,0.9,optimo,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
n4_B1_G3_p0.05,4,1,3,0.05,S0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
n4_B1_G3_p0.05,4,1,3,0.05,rollout,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
n4_B1_G3_p0.05,4,1,3,0.05,optimo,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
n4_B1_G3_p0.45,4,1,3,0.45,S0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
n4_B1_G3_p0.45,4,1,3,0.45,rollout,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
n4_B1_G3_p0.45,4,1,3,0.45,optimo,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
n4_B1_G3_p0.9,4,1,3,0.9,S0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
n4_B1_G3_p0.9,4,1,3,0.9,rollout,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
n4_B1_G3_p0.9,4,1,3,0.9,optimo,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
n4_B2_G2_p0.05,4,2,2,0.05,S0,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
n4_B2_G2_p0.05,4,2,2,0.05,rollout,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
n4_B2_G2_p0.05,4,2,2,0.05,optimo,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
n4_B2_G2_p0.45,4,2,2,0.45,S0,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
n4_B2_G2_p0.45,4,2,2,0.45,rollout,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
n4_B2_G2_p0.45,4,2,2,0.45,optimo,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
n4_B2_G2_p0.9,4,2,2,0.9,S0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
n4_B2_G2_p0.9,4,2,2,0.9,rollout,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
n4_B2_G2_p0.9,4,2,2,0.9,optimo,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
n4_B2_G3_p0.05,4,2,3,0.05,S0,5,0.0676875,0.9323125,0.0,0.0,0.0,0.0,0.022503125,2.0676875
n4_B2_G3_p0.05,4,2,3,0.05,rollout,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
n4_B2_G3_p0.05,4,2,3,0.05,optimo,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
n4_B2_G3_p0.45,4,2,3,0.45,S0,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
n4_B2_G3_p0.45,4,2,3,0.45,rollout,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
n4_B2_G3_p0.45,4,2,3,0.45,optimo,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
n4_B2_G3_p0.9,4,2,3,0.9,S0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
n4_B2_G3_p0.9,4,2,3,0.9,rollout,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
n4_B2_G3_p0.9,4,2,3,0.9,optimo,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
n4_B3_G2_p0.05,4,3,2,0.05,S0,13,0.0,0.6666666667,0.3333333333,0.0,0.0,0.0,0.0188020833,1.6666666667
n4_B3_G2_p0.05,4,3,2,0.05,rollout,8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.3333333333
n4_B3_G2_p0.05,4,3,2,0.05,optimo,11,0.0482916667,0.9517083333,0.0,0.0,0.0,0.0,0.0015041667,1.381625
n4_B3_G2_p0.45,4,3,2,0.45,S0,13,0.0,0.6666666667,0.3333333333,0.0,0.0,0.0,0.14746875,1.6666666667
n4_B3_G2_p0.45,4,3,2,0.45,rollout,7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.3333333333
n4_B3_G2_p0.45,4,3,2,0.45,optimo,11,0.284625,0.715375,0.0,0.0,0.0,0.0,0.0408375,1.6179583333
n4_B3_G2_p0.9,4,3,2,0.9,S0,7,0.0,1.0,0.0,0.0,0.0,0.0,0.0243333333,1.0
n4_B3_G2_p0.9,4,3,2,0.9,rollout,10,0.0,0.91,0.09,0.0,0.0,0.0,0.0,1.3333333333
n4_B3_G2_p0.9,4,3,2,0.9,optimo,10,0.0,0.91,0.09,0.0,0.0,0.0,0.0,1.3333333333
n4_B3_G3_p0.05,4,3,3,0.05,S0,14,0.06091875,0.6215416667,0.3175395833,0.0,0.0,0.0,0.0,1.74413125
n4_B3_G3_p0.05,4,3,3,0.05,rollout,12,0.06091875,0.6215416667,0.3175395833,0.0,0.0,0.0,0.0,1.74413125
n4_B3_G3_p0.05,4,3,3,0.05,optimo,11,0.0482916667,0.9517083333,0.0,0.0,0.0,0.0,0.0142895833,1.3974583333
n4_B3_G3_p0.45,4,3,3,0.45,S0,13,0.0,0.6666666667,0.3333333333,0.0,0.0,0.0,0.14746875,1.6666666667
n4_B3_G3_p0.45,4,3,3,0.45,rollout,7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.3333333333
n4_B3_G3_p0.45,4,3,3,0.45,optimo,11,0.284625,0.715375,0.0,0.0,0.0,0.0,0.0408375,1.6179583333
n4_B3_G3_p0.9,4,3,3,0.9,S0,7,0.0,1.0,0.0,0.0,0.0,0.0,0.0243333333,1.0
n4_B3_G3_p0.9,4,3,3,0.9,rollout,10,0.0,0.91,0.09,0.0,0.0,0.0,0.0,1.3333333333
n4_B3_G3_p0.9,4,3,3,0.9,optimo,10,0.0,0.91,0.09,0.0,0.0,0.0,0.0,1.3333333333
n5_B1_G2_p0.05,5,1,2,0.05,S0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
n5_B1_G2_p0.05,5,1,2,0.05,rollout,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
n5_B1_G2_p0.05,5,1,2,0.05,optimo,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
n5_B1_G2_p0.45,5,1,2,0.45,S0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
n5_B1_G2_p0.45,5,1,2,0.45,rollout,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
n5_B1_G2_p0.45,5,1,2,0.45,optimo,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
