N,B,G,instance,U_single,U_s_NO,U_s_O,U_D,U_D_A,U_max
7,3,7,0,5.151698359444938,5.151698359444938,5.332744192678828,5.4330966769096625,5.581388242745426,6.206921291695285
7,3,7,1,3.797220478727496,3.797220478727496,3.833543205066418,3.9478397572523685,4.2952749415251485,6.08324790079122
7,3,7,2,4.951857002800839,5.574256454131161,5.593347666725672,5.771701959393401,5.922476307504347,6.626023522306903
7,3,7,3,2.9471669289856015,2.947166928985602,2.9471669289856024,3.145987333433162,3.3680451165723535,4.230778802547826
7,3,7,4,4.396051245023012,4.396051245023012,4.396051245023012,4.524300765731805,4.912495317831017,6.401491296968136
7,3,7,5,2.4426984989805933,2.644393052612837,2.644393052612837,2.6443930526128376,2.963465031553083,3.8616392844167917
7,3,7,6,4.076460728846876,4.076460728846876,4.076460728846875,4.118184483334492,4.296516976753511,4.981734327049973
7,3,7,7,2.4217172320609524,2.5931064155682826,2.6923240725754365,2.6923240725754356,2.8968810675274836,3.6707593342009757
7,3,7,8,5.955593945847665,5.955593945847665,6.095338823455363,6.205467657082647,6.423457580723509,6.851374399030638
7,3,7,9,5.951605911407864,6.316898413241505,6.767668658388961,6.939081180640312,7.227805824250295,8.702408111126887
7,3,7,10,4.331361445355336,4.744204926403213,4.744204926403214,4.744204926403213,4.881598643106777,5.534457511920725
7,3,7,11,5.804500331664492,5.804500331664492,5.957544079554075,6.164058895165036,6.404191286661067,7.347273944348727
7,3,7,12,6.491738372902006,7.030735215271223,7.055774359298675,7.243445312096192,7.791088971014422,9.678304717112503
7,3,7,13,5.8874430568584,7.540615581823841,7.660176431285503,7.806007474603669,7.98749503863543,8.660021263690165
7,3,7,14,4.297499836756791,4.904737524215502,5.074261576393131,5.177706583634763,5.423995976950561,6.214982311889279
7,3,7,15,4.003926851439508,4.003926851439508,4.083900184879882,4.157346254794726,4.307366975222312,5.317635365624862
7,3,7,16,6.844318497030443,6.844318497030443,6.84431849703044,7.031218739780126,7.32710779774757,8.607426965033437
7,3,7,17,5.122612380449451,6.051673331369946,6.320701392657313,6.446392146129566,6.711294551947267,7.647819844018548
7,3,7,18,5.009290665516503,5.009290665516503,5.009290665516504,5.329031350691352,5.5908248400702,7.284427212562751
7,3,7,19,5.858927736941836,6.62105923429929,6.6210592342992935,6.727015028117859,6.900891921469568,7.404086074252646
7,3,7,20,5.890234716573761,6.201260536058287,6.369936454297926,6.5205604241775825,6.864908332671543,8.489651825202685
7,3,7,21,4.320199885514631,4.915829656584872,4.924772049616453,5.054497086859994,5.4040662046292285,7.37588901770765
7,3,7,22,7.663403097196147,9.697584381149218,9.847019579565998,10.086814514670145,10.681550999512458,13.15458459846314
7,3,7,23,5.335622384233161,5.62931692278366,5.70208695406524,5.854186702139137,6.045791064638698,6.75431009670644
7,3,7,24,4.592764341986663,4.592764341986664,4.592764341986663,4.743632833563773,4.838796597161905,5.789076385029454
7,3,7,25,5.204276931309483,5.326828742329724,5.701523746179492,5.814487754187519,6.137901065354085,7.395829299685324
7,3,7,26,5.689673475780995,6.219243206923447,6.233316339746115,6.45547525885139,6.648753056632146,7.123774950993744
7,3,7,27,3.5093010850205566,3.5093010850205566,3.5093010850205553,3.5865754270600014,3.7075305087388775,4.371942016419819
7,3,7,28,3.6754483097341994,3.6754483097341994,3.6754483097341986,3.8881329262979105,3.9695874069685533,4.523997904004164
7,3,7,29,6.3565786659879215,7.584448976289194,7.733513958921254,7.7374345223251915,8.193811251711907,9.716641598273199
7,3,7,30,4.698739070964056,5.352732366473972,5.4420135190901355,5.452892573964998,5.80632844944751,6.7626108218349215
7,3,7,31,6.256763378220247,6.256763378220247,6.521664597523878,6.650620718783496,6.800063034522448,7.700037615257881
7,3,7,32,3.5142761199818136,3.5142761199818136,3.514276119981813,3.5829379018732035,3.88193243749894,4.79857849411346
7,3,7,33,4.222308904993448,4.222308904993448,4.222308904993449,4.222308904993449,4.572964095099412,5.663693793482126
7,3,7,34,4.758074069552778,4.758074069552778,4.758074069552778,4.758074069552778,5.102758125879088,6.5695918886797955
7,3,7,35,4.90729907985284,5.304034175023546,5.331759304000004,5.49778214586232,5.663021643128686,6.460493696138067
7,3,7,36,5.206985577277856,5.206985577277856,5.206985577277857,5.401468343569534,5.678044840629834,6.843279459174096
7,3,7,37,5.981562808847617,6.193369677749109,6.55508389694897,6.663711656289607,6.927542897783667,7.902122205085548
7,3,7,38,3.985753313289864,4.1531862816067875,4.153186281606786,4.1531862816067875,4.448315225824029,6.055919061641643
7,3,7,39,4.8110508875800795,5.621036567457947,5.6693019049481945,5.793641874280505,6.109951112438732,7.462318231284289
