N,B,G,instance,U_single,U_s_NO,U_s_O,U_D,U_D_A,U_max
3,2,3,0,3.1499012896699754,3.1879276710181195,3.2755973931546456,3.350372160122679,3.3528524317448287,3.5104744912120918
3,2,3,1,3.211178982150126,3.211178982150126,3.211178982150126,3.31218385225369,3.341175870076475,3.665812448401776
3,2,3,2,3.3142888561511197,3.526963149780816,3.6171497176074032,3.619421678996584,3.652447393327286,3.808933568047757
3,2,3,3,2.0569854373059746,2.0569854373059746,2.0569854373059746,2.0569854373059746,2.0569854373059746,2.6249462114611677
3,2,3,4,2.558711110610398,2.558711110610398,2.5587111106103975,2.6285246142402983,2.6305675098947545,2.9470726069447823
3,2,3,5,1.5068148962207695,1.6063005823428997,1.6063005823428997,1.6193601223459548,1.6781107578429422,1.9798266382077214
3,2,3,6,1.6958315604327538,1.6958315604327538,1.6958315604327536,1.7829463572991187,1.8096608580662061,2.1533484613903746
3,2,3,7,3.2557125940108373,3.2557125940108373,3.2557125940108373,3.255712594010838,3.255712594010838,3.309481066052096
3,2,3,8,1.5670885976504998,1.5670885976504998,1.5670885976504998,1.5670885976504998,1.5670885976504998,1.7053816973397224
3,2,3,9,0.5656683406435979,0.5656683406435979,0.565668340643598,0.5656683406435979,0.5656683406435979,0.5952252993220825
3,2,3,10,2.1726839052510156,2.1726839052510156,2.172683905251015,2.2368167351436425,2.3107099232548185,2.8078517262809313
3,2,3,11,1.8438960630143444,1.8438960630143444,1.8438960630143442,1.8438960630143444,1.8438960630143444,2.173720888636651
3,2,3,12,4.167515222318021,4.167515222318021,4.167515222318021,4.272298799511485,4.3026987766941955,4.709261626417322
3,2,3,13,1.4561020916144092,1.4561020916144092,1.4561020916144094,1.4721426071716772,1.494350904561532,1.767940133181096
3,2,3,14,3.664128428509919,3.664128428509919,3.6641284285099185,3.8722748908631712,3.8878044770451585,4.2489910261962756
3,2,3,15,3.3636578488530233,3.3636578488530233,3.3636578488530233,3.3636578488530233,3.3636578488530233,3.478974694966321
3,2,3,16,3.7303571439219447,4.084990903055278,4.084990903055278,4.0965236634666296,4.2315536622483005,5.046252741432492
3,2,3,17,2.5254083377358096,2.5254083377358096,2.5254083377358096,2.5254083377358096,2.5254083377358096,3.0969745104412296
3,2,3,18,5.398324372426641,6.136082746528398,6.136082746528397,6.136082746528397,6.136082746528397,6.351207997001906
3,2,3,19,4.046178308531055,4.23871740960612,4.597262674940386,4.63685986407357,4.664877475762764,5.201858374931687
3,2,3,20,3.1047772319370432,3.1047772319370432,3.1047772319370432,3.11511958707674,3.1159770522122083,3.1915420990961887
3,2,3,21,0.7119247350934984,0.7119247350934984,0.7119247350934983,0.7119247350934983,0.7119247350934983,0.9423478348352804
3,2,3,22,2.7882568353342725,2.7882568353342725,2.7882568353342725,2.7882568353342725,2.7882568353342725,2.926809052771032
3,2,3,23,3.665404182398235,3.665404182398235,3.6654041823982344,3.874788329281664,3.9133667524693863,4.3795175852420405
3,2,3,24,4.281525136932357,4.281525136932357,4.281525136932357,4.281525136932357,4.281525136932357,4.7738622549547225
3,2,3,25,1.8248994150216462,1.8248994150216462,1.8248994150216464,1.8248994150216464,1.8248994150216464,1.9064059206259438
3,2,3,26,2.058476858595211,2.4526358819752807,2.4526358819752807,2.4526358819752807,2.4526358819752807,2.817605266147978
3,2,3,27,1.6489809857599216,1.6750607884938296,1.7336453370082183,1.7528290576484178,1.776986662450323,2.162990522443308
3,2,3,28,2.4745456787139184,2.5667594596114984,2.5667594596114984,2.5667594596114984,2.590944681702524,3.2094890497738593
3,2,3,29,1.1097343425291462,1.1097343425291462,1.109734342529146,1.109734342529146,1.109734342529146,1.3229938635226155
3,2,3,30,1.262143800806589,1.262143800806589,1.2621438008065888,1.262143800806589,1.262143800806589,1.276695730823905
3,2,3,31,5.1931803789807995,5.921429483070415,6.015392167271994,6.015392167271994,6.020272814657728,6.129154482654455
3,2,3,32,1.708789529539408,1.8177439252388248,1.8670250238397332,1.9206680204084183,1.926435324206402,2.077686572269309
3,2,3,33,2.6202806658536977,2.6202806658536977,2.6202806658536977,2.8644231113224667,2.8715245961799996,3.041374465092458
3,2,3,34,1.9355930740537943,1.9355930740537943,1.9355930740537943,1.9355930740537943,1.9355930740537943,2.0532099989130566
3,2,3,35,2.1966891779763142,2.1966891779763142,2.1966891779763142,2.1966891779763142,2.1966891779763142,2.412069753685561
3,2,3,36,2.4123956052612323,2.4123956052612323,2.412395605261232,2.4123956052612323,2.4123956052612323,2.820885360152422
3,2,3,37,1.4989608467457725,1.4989608467457725,1.4989608467457725,1.4989608467457727,1.4989608467457727,1.53063042401384
3,2,3,38,2.6470638979897623,3.0126839937101373,3.035452584508655,3.0593623615185086,3.096227039227391,3.455473825848108
3,2,3,39,2.8074499113002416,2.8074499113002416,2.8074499113002416,2.8074499113002416,2.8074499113002416,2.884184312024229
3,2,3,40,1.4446542054040443,1.4446542054040443,1.4446542054040443,1.5953246638107597,1.5980998237445347,1.7925093114055224
3,2,3,41,1.1122275240764885,1.1122275240764885,1.1122275240764885,1.1122275240764885,1.1122275240764885,1.3829267360160575
3,2,3,42,3.214845728121521,3.214845728121521,3.2148457281215204,3.301610860110496,3.301734531163279,3.361809581002854
3,2,3,43,1.7187095369531145,1.7187095369531145,1.7187095369531145,1.7187095369531147,1.7187095369531147,2.15198647998454
3,2,3,44,4.645486047694115,4.645486047694115,4.645486047694115,4.645486047694115,4.645486047694115,4.739357952786639
3,2,3,45,4.908758558898952,6.518968802527301,6.534945362587514,6.534945362587514,6.564478018099414,6.7868434159459206
3,2,3,46,3.602232876338756,3.602232876338756,3.6022328763387557,3.602232876338756,3.602232876338756,3.641453973064306
3,2,3,47,4.584790755917896,4.584790755917896,4.584790755917895,4.584790755917896,4.584790755917896,4.722971553947767
3,2,3,48,2.9587677933920586,2.9587677933920586,2.9587677933920586,2.9587677933920595,3.002296847866752,4.100623262395749
3,2,3,49,2.106494612442913,2.1766366345816683,2.1766366345816683,2.2064396222758287,2.3204104982757396,2.7670426629032545
3,2,3,50,1.9084312266187289,1.9084312266187289,1.9084312266187287,1.9084312266187289,1.9084312266187289,2.2367410036587576
3,2,3,51,0.5463511548180868,0.5463511548180868,0.5463511548180868,0.5463511548180868,0.5463511548180868,0.5502547069629924
3,2,3,52,2.1695257597045026,2.188404629879276,2.2725642023592156,2.2761277414730983,2.359807110887116,2.663641065655737
3,2,3,53,3.115471498543557,3.378871683757666,3.3788716837576662,3.3788716837576662,3.535491185306584,4.4858176117587965
3,2,3,54,1.858575639703512,1.858575639703512,1.858575639703512,1.858575639703512,1.858575639703512,2.1907124359909287
