axis,N,B,G,u_top,rel_mean,rel_median,frac_zero,abs_mean
B,6,1,4,,0.0,0.0,1.0,0.0
B,6,2,4,,1.6582725449219176,1.4243081121420529,0.15,0.06288346213561946
B,6,3,4,,4.916944600341002,4.427781967621983,0.0,0.22961165196117422
G,6,3,2,,4.336972672305914,3.7089389527069123,0.0,0.18596760106317536
G,6,3,3,,4.59332474372041,4.512437948976135,0.0,0.23706449266272953
G,6,3,4,,4.292670083403995,4.4287156579719635,0.0,0.21857823258299489
G,6,3,5,,4.771281259665017,3.9754102619829506,0.025,0.20585070345928794
N,4,3,4,,3.1435922255940176,2.6683179898403693,0.075,0.09840630612109867
N,5,3,4,,3.9880693416352058,3.6848043389637803,0.0,0.1396528763416768
N,6,3,4,,5.532775629131985,5.484461482161906,0.0,0.26524805713503136
U,6,3,4,1,5.575408104293025,5.227503416039123,0.0,0.12905169340424355
U,6,3,4,2,4.753266369113923,4.233781408002436,0.0,0.135519819370516
U,6,3,4,3,4.52757561768891,3.6945384759528506,0.0,0.13575680491650663
U,6,3,4,10,2.6118398318564315,1.8033772704132072,0.0,0.13999365208310888
U,6,3,4,100,0.5284471993626862,0.29553197002072074,0.0,0.14964980957473767
